,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
0,Harish Vipin Parekh,Desconocido,"['Abla - Weak', 'A Nightmare', 'Mightier Than the Sword']","['Actor', 'Director', 'Writer']",Desconocido,--
1,Bradley Mark Thomas,Desconocido,['Mightier Than the Sword'],['Actor'],Desconocido,--
2,Massimo Finelli,Desconocido,['E vissero'],['Actor'],Desconocido,--
3,Antonella Morea,1956,"['The Hand of God', 'Addio fottuti musi verdi', 'Casa Eden', 'Perez.']",['Actress'],Desconocido,--
4,Vittorio Nastri,Desconocido,"['Corsa abusiva', 'La rivoluzione', '7 Hours to Win Your Heart', 'Io sto bene']",['Actor'],Desconocido,--
5,Kurtis Leon Baker,Desconocido,"['Sideboob', 'Slice', 'Bing! Bang! Bi!', ""Miriam's World""]","['Additional Crew', 'Producer', 'Actor']",Desconocido,--
6,Madeline Leon,Desconocido,"['The Text Therapist', ""'Tis the Season"", 'Couple Canadian Girls', 'The One']","['Actress', 'Writer', 'Director']",1 win,--
7,Bilali Mack,Desconocido,"['The Whale', 'Let Him Go', 'The Flash', 'Alter Ego']","['Visual Effects', 'Actor']",Desconocido,--
8,Bo Yokely,24,"['Country Roads Christmas', 'After the Storm', 'Switched Before Birth', 'Swagger']","['Actor', 'Producer']",Desconocido,--
9,Jasper Ashton-Nelson,1998,"['The Windmill Man: An Old English Folk Tale', 'Stargazer', 'Second Chance', 'His Struggle']","['Editor', 'Editorial Department', 'Script and Continuity Department']",Desconocido,--
10,Luke McFeeters,Desconocido,"['The Windmill Man: An Old English Folk Tale', 'The Same Story', 'Uploaded', 'Right']","['Cinematographer', 'Director', 'Actor']",Desconocido,--
11,Charlie White,Desconocido,"['Uploaded', 'The Windmill Man: An Old English Folk Tale']","['Actor', 'Director']",Desconocido,--
12,Daisy Hobbs,Desconocido,"['Outcast', 'Ovulation: Normani Motivation Parody', 'Tone Deaf', 'Sex with Me is Mediocre']","['Actress', 'Writer', 'Director']",1 win & 1 nomination,--
13,Luke Hamilton,Desconocido,"['Breaking Girl Code', 'Tone Deaf', 'The Tonight Show Starring Jimmy Fallon', ""Dick Clark's New Year Rockin' Eve with Ryan Seacrest 2019""]",['Actor'],Desconocido,--
14,Josh Hobbs,Desconocido,['Tone Deaf'],['Actor'],Desconocido,--
15,Brian Allen Mitchell,Desconocido,"['Black HQ Trivia', 'Tone Deaf', 'Ride Share', 'Undone Sweaters']",['Actor'],Desconocido,--
16,Sheldon Henry,Desconocido,"[""Nobody's Perfect"", 'Unbreakable Kimmy Schmidt', 'Tone Deaf']",['Actor'],Desconocido,--
17,Kami Dimitrova,Desconocido,"['New Amsterdam', 'This is What I Look Like Naked', 'Characters Welcome']","['Producer', 'Actress', 'Writer']",Desconocido,--
18,Myles Elgaard,Desconocido,"['Heartlight', 'Rogue Angel', 'House in Time', 'Shoot or Die']","['Actor', 'Producer']",Desconocido,--
19,April Lind,Desconocido,"['White Devil', 'August Falls', 'Fight 4 Your Life', 'Silver Carnation']",['Actress'],Desconocido,--
20,P. Jay Willis,Desconocido,"['Valentine Quarrels', 'Main Street Murder']",['Actor'],Desconocido,--
21,Seán Doyle,1992,"['Killing Bono', 'Normal People', 'Metal Heart', 'Bad Sisters']",['Actor'],Desconocido,--
22,Áine Ní Laoghaire,Desconocido,"['Dublin Murders', 'The Nightman', 'Róise & Frank', 'Clean Sweep']",['Actress'],Desconocido,--
