,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,['Zach Crotty'],['Zach Crotty'],"After being resurrected, Clay Anderson tries to track down his former victim and outrun two shady figures with questionable agendas.",--,Speed Reaper
1,--,['Matthew D. McCabe'],"['Cathy McCabe', 'Matthew D. McCabe', 'E. Quincy Sloan']",,--,Legacy
2,--,['Jesse Stoudt'],DESCONOCIDO,,--,The Frontier
3,--,['Liam Owen'],['Liam Owen'],"This short film follows lawyer Matt Murdock. His daily life and his night job too, an action packed sequence of events, true to the ""daredevil"" character.",--,Murdock by day
4,--,['Thomas Gardner'],['Thomas Gardner'],"Set before the events of the acclaimed short 'The Fronts of War', Private William Mawlbury is tasked on finding his close friend Albert, who went missing during a routine patrol.",--,The Prelude to War
5,--,DESCONOCIDO,"['Anton Bucher', 'Michael Schweighart']","A dynamic young agent with the number ""009"" has to solve a big mystery with the help of his CIA associate ""Leo Meckes"".",--,Agent 009: Chollapsis
6,--,DESCONOCIDO,DESCONOCIDO,,--,3
7,--,['Cameron Lessard'],['Cameron Lessard'],"When he attempts to rob a convenience store, a timid young man soon realizes that he isn't the only one with the same idea.",--,Buddy
8,1.4,DESCONOCIDO,DESCONOCIDO,,--,Hacker 3.0
9,--,['Krstover Luaay'],['Krstover Luaay'],"Money greed is a short film abut four gang members planning to Rob a jewelry store, after they come back from robbing the jewelry store, the boss will split the money not equally because hi is greedy, and they will fight because of that.",--,Money Greed
10,8.3,['Rui Constantino'],['Rui Constantino'],"After what happened to the organization, Don Teschio comes up with a plan to get rid of the exterminator, he calls Skeleton a mercenary cold as ice, to track and kill Jake Eastland.",--,The Exterminator: Don Teschio's Revenge
11,7.1,['Oscar Boyson'],"['Oscar Boyson', 'Erin DeWitt']","While trying to navigate a city that won't provide him a bathroom, a delivery worker discovers an unearthly presence infecting women all over New",--,Power Signal
12,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt22083024
13,--,['Rúni Djurhuus'],DESCONOCIDO,"Mojave Desert: A woman offers a ride to an Austrian photographer with a penchant for posing his models as dead bodies, leading to a shocking confrontation between the pair.",--,Das Photo
14,--,['Garshasp Ghobadi'],['Garshasp Ghobadi'],,--,The Free Hearts: Friedrich Nietzsche
15,--,['Michael Gibson'],['Michael Gibson'],,--,Minotaur Madness
16,--,['Mat Newcomb'],DESCONOCIDO,Take a look behind the scenes of Prizefighter: The Life of Jem Belcher and how Matt Hookings brought together heavyweight stars on his passion project that took him 10 years to make.,--,The making of Prizefighter: The life of Jem Belcher
17,--,['Vishal Ranjithkumar'],DESCONOCIDO,This is a short story set in an alley where a person kills someone on the top of the building,--,The Alley in Still
