,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,"['Andrea Ballesta', 'Coni Samperi']",DESCONOCIDO,,--,Milkshake
1,--,"['Reece McCullagh', 'Finbar Somers']","['Reece McCullagh', 'Finbar Somers']",,--,Garden of Paradise
2,--,['Abhijeet Kamble'],"['Abhijeet Kamble', 'Nayan Pachori']",,32min,Welcome to Mumbai
3,--,['Jesko Thiel'],"['Cornelis Kater', 'Sascha Vennemann']",,24min,LO2SS
4,--,['Yasmin Gorenberg'],"['Yasmin Gorenberg', 'Myra Noveck']",,28min,40 Nickels
5,--,['Akash Motwani'],DESCONOCIDO,,--,The Long Halloween
6,--,['Maanasi Patel'],['Maanasi Patel'],,--,Taken for Granted
7,--,['Paul Howard'],['Jemma Arnold'],,18min,Sour Milk
8,"7,0",['Jaret Martino'],"['Jaret Martino', 'Alexa Petito']",,13min,The Worst Day of My Life
9,"9,6",['Viktor Szabados'],['Viktor Szabados'],,--,Szembesülés
10,"8,8",['Alejandra Hou'],"['Alejandra Hou', 'Angelica Reyes']",,15min,Inside the Notebook
11,--,['Scott Burkhardt'],['Scott Burkhardt'],,--,Girls Are Strong Here
12,"5,4",['Andy Heck'],"['Jonathan Kittrell', 'Nick Shaner']",,7min,Burn
13,--,"['Daniel Fox', 'Sean Peter Fox']",['Daniel Fox'],,--,God in the Sky
14,--,['Louise Hylland'],['Louise Hylland'],,--,R[evol]ution of Love
15,--,['Alexei Gredinaru'],['Alexei Gredinaru'],,--,Port Radacini
16,--,['Diana Chire'],['Diana Chire'],,9min,A Living Sculpture
17,--,['Fiona McKenzie'],['Fiona McKenzie'],,12min,Peninsula
18,--,DESCONOCIDO,DESCONOCIDO,Desconocido,--,Error nombre para la pelicula con id: tt10165720
19,--,['Naomi Fryer'],['Naomi Fryer'],,--,This River
20,--,['Daniel Stemen'],['Cedric Gegel'],,--,Growing Season
21,--,['Sylvain Pelissier'],['Sylvain Pelissier'],,--,Instinct
22,"7,9",['Lucas Vasconcelos'],['Lucas Vasconcelos'],,12min,Nada de Bom acontece depois dos 30
23,--,['Irina Hall'],['Irina Hall'],,--,Hidden
24,--,['Adam Swain Ferguson'],"['Adam Swain Ferguson', 'Caitlin R. Williams']",,--,The Exit Interview
25,--,['Brett Puglisi'],['Brett Puglisi'],,10min,Playboy Eddy
26,--,['Grace Kim'],['Grace Kim'],,7min,An Interloper's Kiss
27,"4,6",['Shane Hartline'],['Shane Hartline'],,13min,Cookie
28,"7,3",['Loïc Darses'],"['Loïc Darses', 'Lucie Simone Tremblay']",,29min,"Cercueil, tabarnak!"
29,--,['Alex Kamb'],['Alex Kamb'],,5min,Four Strokes
30,--,['Indra Villaseñor Amador'],['Indra Villaseñor Amador'],,20min,Bedtime story for ghosts
31,--,['Gerard Michael MacCarthy'],['Gerard Michael MacCarthy'],,--,Restoration
32,"6,9","['Maxime Caperan', 'Thomas Finkielkraut']","['Maxime Caperan', 'Thomas Finkielkraut']",,15min,Pornstar
33,--,['Joseph Guinan'],['Joseph Guinan'],,--,Proof of God
34,"5,9",['Rob Padilla Jr.'],"['Marie D. Jones', 'Stephen King']",,17min,Graduation Afternoon
35,--,['Jenny Gärtner'],['Jenny Gärtner'],,--,Aimbot
36,--,['Ahmed Khaled Farag'],['Ahmed Khaled Farag'],,--,The Woman Who Predicted Her Own Death
37,--,['Alexandre Bilardo'],['Alexandre Bilardo'],,14min,Le Sablier
38,"10,0","['Samuel C. Morrison Jr.', 'J. Branden Turner']",['J. Branden Turner'],,6min,Years
39,--,['Rachna Suri'],['Paddy Campbell'],,15min,Mr Whippy
40,--,['Azadeh Nikzadeh'],['Azadeh Nikzadeh'],,4min,The Girl Sitting Here
41,--,['Jennifer Reeder'],['Jennifer Reeder'],,13min,Forevering
42,"10,0",['Angela Matemotja'],['Lita Lopez'],,--,The Good Balloon
43,--,['Joel Ström'],['Joel Ström'],,--,The Simplicity of Life
44,--,['Karin Lee'],DESCONOCIDO,,--,Ts'ekoo Cha Ke: The Girl with Big Feet
45,--,['Bahador Adab'],['Bahador Adab'],,--,Peyman
46,--,['Gary Landry Jr.'],['Alistair McKenzie'],,--,Gris
47,"5,6",['Hlumela Matika'],DESCONOCIDO,,14min,Tab
48,--,['Senie Priti'],['Senie Priti'],,--,Alba
49,--,['Yung-Chih Hsu'],['Yung-Chih Hsu'],,30min,Piano Lessons
50,--,['James Allodi'],DESCONOCIDO,,17min,Bella Wild
51,--,['James Allodi'],"['James Allodi', 'Carl Knutson']",,18min,Delivery
52,--,DESCONOCIDO,DESCONOCIDO,Desconocido,--,Error nombre para la pelicula con id: tt10376530
53,--,['Mitchell LeBlanc'],['Mitchell LeBlanc'],,15min,Melody
54,"6,0",['Benjamin Steiger Levine'],"['Greg Kaufman', 'Benjamin Steiger Levine']",,12min,Marco & Polo Go Round
55,"5,3",['Megan Tremethick'],['Megan Tremethick'],,--,Slot
56,--,['Dame Pierre'],DESCONOCIDO,,22min,Nola
57,"7,4",['Terry Loane'],['Gerard McCarthy'],,--,Just Johnny
58,--,['Mara Linsener'],['Mara Linsener'],,--,Seelenschatten
59,--,['James T. Cernero'],['James T. Cernero'],,--,Carrol Lynn
60,--,['Diana Stefanescu'],['Diana Stefanescu'],,--,"Tinerete, dulce batranete..."
61,--,['Ella Jones'],['Charlotte Hamblin'],,--,Petra
62,"8,0","['Jonatan Egholm Keis', 'Ludvig Frøkjær Thomsen']",['Jonatan Egholm Keis'],,34min,"Sail On, My Love"
63,"8,0",['Bastien Solignac'],['Bastien Solignac'],,28min,Apatrides
64,--,['Nader Farahwaschy'],"['Nader Farahwaschy', 'Amin Seqatchi']",,13min,Donkeys
65,--,['Royce Leii'],"['Royce Leii', 'Nolan Rudi']",,--,Conductor
66,--,['Cassandra Thomas'],"['Jonnie Hurn', 'Cassandra Thomas']",,22min,Riding Liberty
67,--,['Seayoon Jeong'],['Seayoon Jeong'],,4min,Captive
68,--,DESCONOCIDO,DESCONOCIDO,Desconocido,--,Error nombre para la pelicula con id: tt10483856
69,--,['Zoe Deleon'],['Zoe Deleon'],,--,Girl Beast
70,--,"['Georgia Azoulay', 'Félixe De Becker']","['Georgia Azoulay', 'Félixe De Becker']",,--,Ictus
71,--,['C.S. Hughes'],['C.S. Hughes'],,--,Silver Flask
72,--,['Seth Christian'],['Seth Christian'],,--,Radley
73,--,['Mmabatho Montsho'],['Mmabatho Montsho'],,9min,The Award Ceremony
74,--,['Morgan Coffman'],['Morgan Coffman'],,--,Rachel in the Dark Room
75,--,['Will Kim'],['Will Kim'],,4min,The Hole
76,"7,9",['Alexandr Borecky'],['Alexandr Borecky'],,18min,Origin
77,"9,5",['Samik Roy Choudhury'],['Samik Roy Choudhury'],,--,Okiagari
78,"7,6",['Rakib Erick'],DESCONOCIDO,,12min,Boshack
79,"8,4",['Joffre Faria Silva'],['Joffre Faria Silva'],,19min,Being Brave
80,--,['Ermir M. B.'],['Ermir M. B.'],,--,Fighting Ghosts
81,--,['Peter Marsden'],DESCONOCIDO,,--,The Truth About Dreaming
82,--,['Jody Bryce Phelps'],['Jody Bryce Phelps'],,3min,Eingehüllt
83,--,['Will Schneider'],['Will Schneider'],,--,Ageusia
84,--,['Spencer Longmore'],"['Spencer Longmore', 'William Shakespeare']",,--,Othaniel
85,--,['Amy Poux'],['Amy Poux'],,--,Do-Nothings
86,--,['Jaime Bennington'],['Jaime Bennington'],,35min,A Chant
87,--,DESCONOCIDO,DESCONOCIDO,,--,Port Tesaturi
88,--,['Jess Collett'],"['Kiriem Bello', 'Jess Collett', 'Tolu Stedford']",,--,Baba
89,"8,0",['Leena Pendharkar'],['Leena Pendharkar'],,12min,Awaken
90,--,['Sandra Garcia-Arceo'],"['Cole McKisson', 'Riley Porter', 'Duncan Star-Boszko']",,--,Rotten
91,"8,2",['Mat Johns'],['Mat Johns'],,18min,Inertia
92,--,"['Tina Carbone', 'Jaclyn Jasgur']",['Jaclyn Jasgur'],,--,Sorry for Your Loss
93,--,['Patric James Callahan'],"['Patric James Callahan', 'Devin Lee White']",,--,1969
94,--,['Rob Haffey'],['Rob Haffey'],,--,Sick Fuck
