,id,time_sec
0,tt27005179,3
1,tt27121034,1
2,tt27121469,3
3,tt27121458,2
4,tt27121485,2
5,tt27122510,3
6,tt27125641,1
7,tt27126390,3
8,tt27126965,2
9,tt27127359,2
10,tt27127520,3
11,tt27122859,2
12,tt27126627,2
13,tt27127615,3
14,tt27127629,4
15,tt27129220,3
16,tt27134139,2
17,tt27134127,3
18,tt27130877,2
19,tt27131355,1
20,tt27131249,2
21,tt27133828,2
22,tt27137736,4
23,tt27138183,3
24,tt27139738,3
25,tt27139772,2
26,tt27141553,2
27,tt27143074,2
28,tt27142874,3
29,tt27144372,2
30,tt27139314,2
31,tt27139278,4
32,tt27141031,4
33,tt27146999,2
34,tt27154408,2
35,tt27161672,2
36,tt27161773,2
37,tt27161958,3
38,tt27162592,2
39,tt27162646,3
40,tt27163202,2
41,tt27165877,3
42,tt27166202,3
43,tt27166356,3
44,tt27166509,2
45,tt27166618,2
46,tt27170832,3
47,tt27171787,2
48,tt27179032,2
49,tt27179303,2
50,tt27179389,3
51,tt27179438,11
52,tt27179506,2
53,tt27179509,2
54,tt27179834,3
55,tt27182350,2
56,tt27182556,2
57,tt27178378,1
58,tt27182841,3
59,tt27190932,3
60,tt27191853,3
61,tt27191834,3
62,tt27192026,2
63,tt27196373,2
64,tt27191541,3
65,tt27195494,2
66,tt27197121,3
67,tt27197821,2
68,tt27198774,3
69,tt27202118,3
70,tt27201087,3
71,tt27197633,2
72,tt27197550,2
73,tt27204734,2
74,tt27206355,2
75,tt27208639,2
76,tt27209628,2
77,tt27206015,3
78,tt27210132,2
79,tt27216785,2
80,tt27217820,3
81,tt27218497,2
82,tt27219371,1
83,tt27219434,3
84,tt27226009,2
85,tt27230149,3
86,tt27232834,2
87,tt27219978,2
88,tt27218691,2
89,tt27219771,2
90,tt27236031,2
91,tt27236677,2
92,tt27237382,3
93,tt27241273,2
94,tt27241551,2
95,tt27245412,1
96,tt27250590,2
97,tt27250675,2
98,tt27251641,4
99,tt27251669,3
100,tt27252181,3
101,tt27261231,3
102,tt27250815,3
103,tt27252872,3
104,tt27263317,2
105,tt27267852,2
106,tt27272369,2
107,tt27272503,2
108,tt27272522,2
109,tt27272551,2
110,tt27272749,2
111,tt27272768,3
112,tt27272783,3
113,tt27272801,2
114,tt27280235,2
115,tt27286412,2
116,tt27300783,1
117,tt27301423,2
118,tt27301484,2
119,tt27301685,2
120,tt27301805,2
121,tt27302058,1
122,tt27304247,3
123,tt27304796,3
124,tt27310416,2
125,tt27310552,2
126,tt27310666,3
127,tt27311647,3
128,tt27312839,2
129,tt27313626,2
130,tt27313661,3
131,tt27318112,2
132,tt27328206,2
133,tt27328934,3
134,tt27329189,2
135,tt27331198,2
136,tt27331226,3
137,tt27331580,3
138,tt27331576,2
139,tt27336198,3
140,tt27337765,2
141,tt27339666,3
142,tt27329109,4
143,tt27347892,3
144,tt27331307,2
145,tt27348312,4
146,tt27348782,3
147,tt27349186,3
148,tt27349262,2
149,tt27350099,3
150,tt27350581,4
151,tt27352154,13
152,tt27353927,2
153,tt27357142,2
154,tt27357162,2
155,tt27364681,2
156,tt27349551,3
157,tt27350055,3
158,tt27350122,2
159,tt27350731,2
160,tt27351126,4
161,tt27369261,3
162,tt27369815,3
163,tt27369960,2
164,tt27370776,2
165,tt27371433,2
166,tt27371924,3
167,tt27372116,2
168,tt27373005,3
169,tt27374809,3
170,tt27376848,3
171,tt27370792,2
172,tt27371501,3
173,tt27384374,3
174,tt27385176,3
175,tt27385376,2
176,tt27385708,2
177,tt27394422,3
178,tt27395269,2
179,tt27396825,2
