,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,DESCONOCIDO,DESCONOCIDO,,--,Milkshake
1,--,DESCONOCIDO,"['Reece McCullagh', 'Finbar Somers']","Dave has accepted his fate, consigning himself to miserable solitude, until an old friend arrives with a box of old records. Hearing the psychedelic sounds of his youth, something stirs deep within Dave that he thought was lost forever.",--,Garden of Paradise
2,--,['Abhijeet Kamble'],"['Abhijeet Kamble', 'Nayan Pachori']","Lallan, a migrant from U. P., loses his employer's important parcel on his very first day in Mumbai; little does he know it's pursuit is going to put him into some hilarious situations encountering some bizarre people.",--,Welcome to Mumbai
3,--,['Jesko Thiel'],"['Cornelis Kater', 'Sascha Vennemann']","David learns that the world will only be habitable for humanity for another 3 weeks, as a previously unknown side-effect of climate change is causing oxygen levels to fall inevitably.",--,LO2SS
4,--,['Yasmin Gorenberg'],"['Yasmin Gorenberg', 'Myra Noveck']",An immigrant boy of the Depression era soars above his family's tragedies.,--,40 Nickels
5,--,['Akash Motwani'],DESCONOCIDO,,--,The Long Halloween
6,--,['Maanasi Patel'],DESCONOCIDO,,--,Taken for Granted
7,--,['Paul Howard'],DESCONOCIDO,,--,Sour Milk
8,7.0,['Jaret Martino'],"['Jaret Martino', 'Alexa Petito']","A middle school student is forced to move schools after horrific bullying, despite processing grief and making a huge transition she's able to clear the way for a brighter future.",--,The Worst Day of My Life
9,9.6,['Viktor Szabados'],DESCONOCIDO,Two men talk about a car accident and its consequences.,--,Szembesülés
10,8.8,['Alejandra Hou'],"['Alejandra Hou', 'Angelica Reyes']","After a mysterious storm, Egypt is moved to a new planet away from Earth. There, the Pharaoh decides to impose a law where every kid belongs to him. Istar, the Pharaoh's obsession, decides to return after not seeing her mother for 12 years. Therefore, she will need to survive the obstacles on her way, finding in the process that her mother abandoned her to protect her... Read all",--,Inside the Notebook
11,--,['Scott Burkhardt'],DESCONOCIDO,"When a mother and daughter are stranded at his service station, Sayid's faith in his adopted country is put to the test.",--,Girls Are Strong Here
12,5.4,['Andy Heck'],"['Jonathan Kittrell', 'Nick Shaner']",A young gay man thinks back to his childhood growing up in a conservative Christian home and wants to move on with his life.,--,Burn
13,--,DESCONOCIDO,DESCONOCIDO,"'God In The Sky' tells the story of a young woman dealing with a crisis of faith. One day, an interstellar object appears on Earth and begins sending everyone visions of the afterlife - everyone except her.",--,God in the Sky
14,--,['Louise Hylland'],DESCONOCIDO,"A tragicomic existentialist tale of an alternative encounter between two misplaced, identity-confused teenagers, Mada and Ave, who, despite a failed rape attempt, develop empathy, understanding, and feelings for each other.",--,R[evol]ution of Love
15,--,['Alexei Gredinaru'],DESCONOCIDO,A man is born from the sea in what appears to be a mythical world only to realize he's no longer alive.,--,Port Radacini
16,--,['Diana Chire'],DESCONOCIDO,"In this exploration of gender roles, Francesca, a horn player and music composition student is contemplating the pros and cons of continuing a relationship with Nick, an artist. The film explores and dissects the problematic idea of the female muse in the 21st century.",--,A Living Sculpture
17,--,['Fiona McKenzie'],DESCONOCIDO,"Trying to connect with his estranged son, and confronted with a neighbor who does things differently, Mark is forced out of his solitary comfort zone. All three find common ground in a way none of them could have foreseen.",--,Peninsula
18,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt10165720
19,8.1,['Ibrahim Faal'],DESCONOCIDO,Anna lives with her alcoholic and controlling father and dreams of becoming an actress.,--,Don't Kill My Dreams
20,--,['Naomi Fryer'],DESCONOCIDO,,--,This River
21,--,['Daniel Stemen'],DESCONOCIDO,A young farmer and his wife must save the farm from failure while navigating the combined pressure of a family legacy and a recent cancer diagnosis.,--,Growing Season
22,--,['Sylvain Pelissier'],DESCONOCIDO,,--,Instinct
23,7.9,['Lucas Vasconcelos'],DESCONOCIDO,A man questions himself about a political doctrine during his last birthday.,--,Nada de Bom acontece depois dos 30
24,--,['Irina Hall'],DESCONOCIDO,A mother of two loses her husband and gets caught in a chain of unfortunate events that leave her and her children on the street. She must find a way to bring her family back home while overcoming an internal struggle.,--,Hidden
25,--,['Adam Swain Ferguson'],"['Adam Swain Ferguson', 'Caitlin R. Williams']",,--,The Exit Interview
