,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt10001728
1,--,['Jonás Domínguez'],DESCONOCIDO,"On the eve of the town festival, an older man who has given up on life meets a mysterious woman who can understand him.",--,Siempre Yo
2,--,['Francesco Giannini'],"['Derrick Adams', 'Francesco Giannini']","The life of an impoverished Italian family of farmers is turned upside down, when their sibling Salvatore discovers one of their chickens begins uncharacteristically laying eggs of pure gold.",--,Città d'Oro
3,7.9,['Luis Gerard'],DESCONOCIDO,,--,The Wake
4,--,['Mayla Warshavsky'],DESCONOCIDO,A group of people live different toxic situations in their lives.,--,Toxicos
5,--,['Chase Lubag'],DESCONOCIDO,"A gay man struggles to cope with the loss of his partner by turning to drugs and alcohol, but the high of the night can't save him from his memories.",--,Price
6,--,['Matthew Marshall'],DESCONOCIDO,Professor Richard Pratt works to bring closure in aspects of life as he faces death.,1h 7m,Not Ready
7,--,DESCONOCIDO,DESCONOCIDO,"After their car breaks down, a Latino couple seeks out help at the first place they find, a gas station owned by a racist.",--,Intolerance
8,--,['Adrian L. Burrell'],DESCONOCIDO,"Major, Excel, Frank, Mico and Adrian grew up in Oakland, California. As the five Cousins recount their upbringing in relation to one another, questions of conscience, loyalty, humanity, fate, and their ultimate mortality rise to the surface. What culminates is a sobering revelation of what has become of one of the Cousins, and how it has impacted the rest forever.",--,Cousins
9,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt10597604
10,--,DESCONOCIDO,DESCONOCIDO,,--,Cynisca Reborn
11,--,DESCONOCIDO,DESCONOCIDO,,--,Inside
12,--,DESCONOCIDO,DESCONOCIDO,,--,Out
13,--,DESCONOCIDO,DESCONOCIDO,,--,"I Love You, Guys"
14,,DESCONOCIDO,DESCONOCIDO,,--,North Star
15,--,DESCONOCIDO,DESCONOCIDO,,--,The Deal
16,--,DESCONOCIDO,DESCONOCIDO,,--,True to Life
17,--,DESCONOCIDO,DESCONOCIDO,,--,Elle
18,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt10771320
19,--,DESCONOCIDO,DESCONOCIDO,,--,The Light
