,Genero,Tipo,Titulo,Año de estreno,Mes de estreno,ID
0,Drama,Movie,Instruments of Darkness,2014,,tt0338258
1,Drama,Movie,A Walk Among the Tombstones,2014,10.0,tt0365907
2,Drama,Movie,The Ninth Cloud,2014,3.0,tt0424859
3,Drama,Movie,The Giver,2014,8.0,tt0435651
4,Drama,Movie,Before We Go,2014,11.0,tt0443465
5,Drama,Movie,A Long Way Down,2014,3.0,tt0458413
6,Drama,Movie,Ex Machina,2014,4.0,tt0470752
7,Drama,Movie,Dil Ka Sauda,2014,1.0,tt0485535
8,Drama,Movie,Kid Cannabis,2014,7.0,tt0780548
9,Drama,Movie,Interstellar,2014,11.0,tt0816692
10,Drama,Movie,Dracula Untold,2014,10.0,tt0829150
11,Drama,Movie,Electric Slide,2014,4.0,tt0835775
12,Drama,Movie,Bhopal: A Prayer for Rain,2014,11.0,tt0839742
13,Drama,Movie,Suite Française,2014,3.0,tt0900387
14,Drama,Movie,Love & Mercy,2014,6.0,tt0903657
15,Drama,Movie,A Merry Christmas Miracle,2014,11.0,tt0910885
16,Drama,Movie,Coffee Sex You,2014,11.0,tt0949872
17,Drama,Movie,Out of Sight,2014,11.0,tt0959306
18,Drama,Movie,Avenge,2014,4.0,tt0961036
19,Drama,Movie,Zvyozdy svetyat vsem,2014,11.0,tt10035404
20,Drama,Movie,Prathighatana,2014,4.0,tt10039008
21,Drama,Movie,Gafas de ver,2014,9.0,tt10048070
22,Drama,Movie,Boris Secret Private Life,2014,,tt10078810
23,Drama,Movie,Healing Mate,2014,10.0,tt10078844
24,Drama,Movie,Wu cai shen jian,2014,6.0,tt10097458
25,Drama,Movie,Fingertips of an Angel,2014,10.0,tt10106844
26,Drama,Movie,The Sisterhood of Night,2014,10.0,tt1015471
27,Drama,Movie,Shao nian qi wang,2014,,tt10167934
28,Drama,Movie,Mummy Dearest,2014,9.0,tt10183622
29,Drama,Movie,Dazzling Mirage,2014,10.0,tt10183654
30,Drama,Movie,Apnea,2014,5.0,tt10197886
31,Drama,Movie,Selma,2014,2.0,tt1020072
32,Drama,Movie,Zahreela,2014,10.0,tt10225036
33,Drama,Movie,"Legs Wide Spread, the Motion Picture",2014,12.0,tt10265840
