,Genero,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Drama,Short,Chateaubriand - Cabeça de Paraíba,2000,12.0,tt0115874
1,Drama,Short,Nights,2000,3.0,tt0138655
2,Drama,Short,Caught,2000,8.0,tt0142155
3,Drama,Short,Smog,2000,3.0,tt0144613
4,Drama,Short,Safe Journey,2000,,tt0188189
5,Drama,Short,Among Others,2000,6.0,tt0191782
6,Drama,Short,Ruben,2000,6.0,tt0194319
7,Drama,Short,O Pedido de Emprego,2000,2.0,tt0195979
8,Drama,Short,Soul Cages,2000,10.0,tt0202592
9,Drama,Short,Shadows,2000,3.0,tt0201919
10,Drama,Short,Short,2000,10.0,tt0205408
11,Drama,Short,The Good Doctor,2000,,tt0205096
12,Drama,Short,Legs Apart,2000,9.0,tt0205352
13,Drama,Short,The Third Lie,2000,,tt0211036
14,Drama,Short,When the Time Comes,2000,2.0,tt0212607
15,Drama,Short,Cirque du Soleil: Journey of Man,2000,5.0,tt0213749
16,Drama,Short,Quiero ser (I want to be...),2000,6.0,tt0216131
17,Drama,Short,Somewhere Else,2000,,tt0217813
18,Drama,Short,John Henry,2000,10.0,tt0219105
19,Drama,Short,The Window,2000,2.0,tt0221711
20,Drama,Short,Der Apfel,2000,4.0,tt0221802
21,Drama,Short,Flamenco Shoe,2000,,tt0221181
22,Drama,Short,Into My Arms,2000,,tt0223535
23,Drama,Short,Broken,2000,9.0,tt0225223
24,Drama,Short,Coven,2000,6.0,tt0225434
25,Drama,Short,Flying Over Mother,2000,4.0,tt0225763
26,Drama,Short,A Drogaria,2000,,tt0228241
27,Drama,Short,Ghosthunter,2000,9.0,tt0229130
28,Drama,Short,"Friday Night, NYC",2000,,tt0229400
29,Drama,Short,Um Dia na Vida,2000,,tt0229805
30,Drama,Short,Angels in a Cage,2000,,tt0231144
31,Drama,Short,Olhos Mortos,2000,,tt0232217
32,Drama,Short,Château de sable,2000,,tt0233455
33,Drama,Short,Olivia's Story,2000,2.0,tt0234375
34,Drama,Short,Plus rien...,2000,,tt0235678
