,Genero,Tipo,Titulo,Año de estreno,Mes de estreno,ID
0,Drama,Short,The Watch,2009,7.0,tt0381701
1,Drama,Short,Changeling,2009,,tt0462225
2,Drama,Short,The Crooked Eye,2009,1.0,tt0847208
3,Drama,Short,Julieta,2009,4.0,tt0855849
4,Drama,Short,Rougge the Vampyre,2009,7.0,tt0886528
5,Drama,Short,Laundry,2009,3.0,tt0918541
6,Drama,Short,The Summer House,2009,5.0,tt0918631
7,Drama,Short,Murder by Appointment,2009,6.0,tt0939641
8,Drama,Short,Mute,2009,6.0,tt0942381
9,Drama,Short,The Birthday Party,2009,4.0,tt0963160
10,Drama,Short,The Offer,2009,,tt0974610
11,Drama,Short,Today,2009,,tt0989088
12,Drama,Short,Diavoli nella polvere,2009,,tt10042034
13,Drama,Short,Colchones,2009,2.0,tt10049918
14,Drama,Short,Bandoneón,2009,11.0,tt10073900
15,Drama,Short,Chú Bé Dánh Giày,2009,11.0,tt10089486
16,Drama,Short,The Twisted Summer,2009,12.0,tt10111260
17,Drama,Short,Perdóname,2009,,tt10136042
18,Drama,Short,O Homem do Realejo,2009,,tt10164194
19,Drama,Short,Stray,2009,,tt1018822
20,Drama,Short,Be with Me,2009,,tt10209132
21,Drama,Short,Tango du poulailler,2009,10.0,tt10300058
22,Drama,Short,La Nada Absoluta,2009,3.0,tt10326996
23,Drama,Short,Hódomb,2009,4.0,tt10374158
24,Drama,Short,16mm Films,2009,,tt10428636
25,Drama,Short,Surrogate Dad,2009,11.0,tt10456884
26,Drama,Short,Carrie,2009,9.0,tt10457270
27,Drama,Short,Aftermath,2009,6.0,tt10585010
28,Drama,Short,Nous,2009,6.0,tt1059949
29,Drama,Short,Thorns,2009,1.0,tt10603028
30,Drama,Short,El color de la mandarina,2009,11.0,tt10631596
31,Drama,Short,Superkrefter,2009,9.0,tt10654678
32,Drama,Short,The Powerhouse,2009,3.0,tt10678520
33,Drama,Short,Trozos de lluvia,2009,5.0,tt10784390
34,Drama,Short,Vit som Snö,2009,3.0,tt10793810
35,Drama,Short,Ne sluchilos,2009,,tt10798590
36,Drama,Short,Soul Happiness,2009,3.0,tt10800016
37,Drama,Short,Den Utvalgte,2009,8.0,tt10801372
38,Drama,Short,Dieu est loin,2009,12.0,tt10888940
39,Drama,Short,Dia de sol,2009,12.0,tt10893594
40,Drama,Short,7 Dias Após 8 Semanas,2009,,tt10927096
41,Drama,Short,Shylock,2009,3.0,tt10933254
42,Drama,Short,Beyond the Forest,2009,12.0,tt11001120
43,Drama,Short,Silver Rainbow,2009,,tt11016412
44,Drama,Short,Timelord Warning,2009,1.0,tt11055948
45,Drama,Short,Ascenso,2009,,tt11061068
46,Drama,Short,Meshuggeneh,2009,,tt1109617
47,Drama,Short,Dance of the Last Shaker,2009,10.0,tt11132832
48,Drama,Short,Deux,2009,6.0,tt11192326
49,Drama,Short,What happened to Ellie,2009,9.0,tt11244380
