,Genero,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Drama,Short,Protest Bullying,2011,8.0,tt10027296
1,Drama,Short,Room service,2011,,tt10031122
2,Drama,Short,Death Point,2011,9.0,tt10050610
3,Drama,Short,Once upon a time in Kinmen,2011,,tt10075402
4,Drama,Short,Tempus Fugit,2011,,tt10075954
5,Drama,Short,Causality,2011,11.0,tt10096096
6,Drama,Short,Rupantaran,2011,5.0,tt10107326
7,Drama,Short,Patrick's Death,2011,8.0,tt10106354
8,Drama,Short,U-Turn,2011,5.0,tt10107338
9,Drama,Short,Somras,2011,5.0,tt10107270
10,Drama,Short,They Talk Too Much,2011,6.0,tt10107352
11,Drama,Short,Toby,2011,,tt10115070
12,Drama,Short,Istigkeit,2011,12.0,tt10137238
13,Drama,Short,Feu,2011,,tt10140938
14,Drama,Short,El hombre insensible,2011,,tt10150202
15,Drama,Short,Gaydamaka,2011,,tt10178076
16,Drama,Short,49th Day,2011,,tt10209144
17,Drama,Short,Gritty Tintin,2011,11.0,tt10255446
18,Drama,Short,Aasai (Wish),2011,7.0,tt10267484
19,Drama,Short,Oru Naal (One Day),2011,2.0,tt10267680
20,Drama,Short,Flat 443,2011,6.0,tt10268442
21,Drama,Short,Period Uttara Catharsis,2011,,tt10282030
22,Drama,Short,Natural Frescoes,2011,9.0,tt10289032
23,Drama,Short,Zealous,2011,9.0,tt10292936
24,Drama,Short,Runaway,2011,1.0,tt10294908
25,Drama,Short,Straw Women,2011,,tt10299448
26,Drama,Short,Old Seats,2011,,tt10303010
27,Drama,Short,Paradi man skanu,2011,,tt10309806
28,Drama,Short,Straw Women,2011,,tt10327696
29,Drama,Short,Killer Husband,2011,,tt10328920
30,Drama,Short,Straw Women,2011,,tt10328456
31,Drama,Short,MK Ultra,2011,4.0,tt10377686
32,Drama,Short,El escondite del pájaro,2011,2.0,tt10388846
33,Drama,Short,Forever Strangers,2011,10.0,tt10400102
34,Drama,Short,Faltam duas quadras,2011,11.0,tt10419018
35,Drama,Short,The Spot's Demands,2011,11.0,tt10431202
36,Drama,Short,En attendant Longwood,2011,,tt10431790
37,Drama,Short,Brick,2011,10.0,tt10456906
38,Drama,Short,Paname Hotel,2011,3.0,tt10473052
39,Drama,Short,Amble,2011,,tt10476442
40,Drama,Short,Milkshake Fight,2011,9.0,tt10538620
41,Drama,Short,Silvio,2011,11.0,tt10553268
42,Drama,Short,Proxy Service,2011,,tt10550576
43,Drama,Short,Repeater,2011,12.0,tt10568998
44,Drama,Short,Lighter Than Love,2011,12.0,tt10569038
45,Drama,Short,Still on the Bridge,2011,12.0,tt10568892
46,Drama,Short,This File Cannot Be Deleted,2011,12.0,tt10568902
47,Drama,Short,A Persistent Illusion,2011,,tt10573124
48,Drama,Short,Cementerio de elefantes,2011,,tt10572778
49,Drama,Short,Les Lèvres Closes,2011,2.0,tt10584758
50,Drama,Short,The Old Pages of My Notes,2011,2.0,tt10586828
51,Drama,Short,Broken Day,2011,,tt10620834
52,Drama,Short,Truth & Lie,2011,1.0,tt10626794
53,Drama,Short,Bedensiz Kadinlar,2011,6.0,tt10653250
