,Genero,Tipo,Titulo,Año de estreno,Mes de estreno,ID
0,Drama,Movie,Mugen ryûkyû tsuru Henrî,2021,5.0,tt0228802
1,Drama,Movie,'77,2021,5.0,tt0326716
2,Drama,Movie,Zamaanat: And Justice for All,2021,,tt0346172
3,Drama,Movie,Z,2021,,tt0818543
4,Drama,Movie,Cosmic Radio,2021,2.0,tt0840306
5,Drama,Movie,A Journal for Jordan,2021,12.0,tt0995854
6,Drama,Movie,Kelti,2021,12.0,tt10003618
7,Drama,Movie,Preman,2021,4.0,tt10011002
8,Drama,Movie,The Little Things,2021,1.0,tt10016180
9,Drama,Movie,The Humans,2021,11.0,tt10023286
10,Drama,Movie,Everything I Ever Wanted to Tell My Daughter About Men,2021,10.0,tt10022782
11,Drama,Movie,Pure White,2021,6.0,tt10032574
12,Drama,Movie,Cosas imposibles,2021,6.0,tt10032342
13,Drama,Movie,Fear of Rain,2021,2.0,tt10037014
14,Drama,Movie,Promises,2021,11.0,tt10042788
15,Drama,Movie,"Virgen de San Juan, cuatro siglos de milagros",2021,2.0,tt10038660
16,Drama,Movie,Sans soleil,2021,10.0,tt10051000
17,Drama,Movie,Famous,2021,12.0,tt10054778
18,Drama,Movie,Sombra,2021,10.0,tt10062628
19,Drama,Movie,Earwig,2021,9.0,tt10062338
20,Drama,Movie,Bhuj: The Pride of India,2021,8.0,tt10062556
21,Drama,Movie,Let Me Be Frank,2021,9.0,tt10068716
22,Drama,Movie,Il materiale emotivo,2021,10.0,tt10072662
23,Drama,Movie,Twist,2021,6.0,tt10077034
24,Drama,Movie,Ba yue wei yang,2021,4.0,tt10080086
25,Drama,Movie,The Wasteland of Education,2021,10.0,tt10079796
26,Drama,Movie,Bole Chudiyan,2021,,tt10083868
27,Drama,Movie,Nomad,2021,,tt10084832
28,Drama,Movie,Ouistreham,2021,5.0,tt10088984
29,Drama,Movie,The Tragedy of Macbeth,2021,12.0,tt10095582
30,Drama,Movie,Mi mi fang ke,2021,5.0,tt10097384
31,Drama,Movie,Animals,2021,10.0,tt10098452
32,Drama,Movie,Range Roads,2021,12.0,tt10102080
33,Drama,Movie,Lavinya,2021,,tt10108062
34,Drama,Movie,The Diary: An Untold Story,2021,,tt10115874
35,Drama,Movie,Paul Keller - Stille im Schrei,2021,9.0,tt10121222
36,Drama,Movie,Reflection,2021,5.0,tt10127464
37,Drama,Movie,The Exchange,2021,7.0,tt10126040
38,Drama,Movie,Perspectiva,2021,12.0,tt10127964
39,Drama,Movie,Wish You Were Here,2021,4.0,tt10151074
40,Drama,Movie,Thalaivi,2021,9.0,tt10152736
41,Drama,Movie,Alia's Birth,2021,8.0,tt10156216
42,Drama,Movie,Love Songs Weren't Meant to Make You Cry,2021,9.0,tt10161612
43,Drama,Movie,Vera andrron detin,2021,9.0,tt10166880
44,Drama,Movie,Moloko ptitsy,2021,11.0,tt10171848
45,Drama,Movie,A Boy Called Christmas,2021,11.0,tt10187208
46,Drama,Movie,My True Fairytale,2021,3.0,tt10192704
47,Drama,Movie,Eugénie Grandet,2021,9.0,tt10196108
48,Drama,Movie,Highway 1,2021,11.0,tt10195722
49,Drama,Movie,Woman in Car,2021,3.0,tt10197632
50,Drama,Movie,Black Parthenope,2021,6.0,tt10198698
51,Drama,Movie,Así Te Vas a Despedir,2021,11.0,tt10217402
52,Drama,Movie,Madison Baker Was Here,2021,11.0,tt10221732
53,Drama,Movie,Knockout Girls,2021,8.0,tt10223850
