,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Short,Chateaubriand - Cabeça de Paraíba,2000,12.0,tt0115874
1,Short,Nights,2000,3.0,tt0138655
2,Short,Caught,2000,8.0,tt0142155
3,Short,Smog,2000,3.0,tt0144613
4,Short,Safe Journey,2000,,tt0188189
5,Short,Among Others,2000,6.0,tt0191782
6,Short,Ruben,2000,6.0,tt0194319
7,Short,O Pedido de Emprego,2000,2.0,tt0195979
8,Short,Soul Cages,2000,10.0,tt0202592
9,Short,Shadows,2000,3.0,tt0201919
10,Short,Short,2000,10.0,tt0205408
11,Short,The Good Doctor,2000,,tt0205096
12,Short,Legs Apart,2000,9.0,tt0205352
13,Short,The Third Lie,2000,,tt0211036
14,Short,When the Time Comes,2000,2.0,tt0212607
15,Short,Cirque du Soleil: Journey of Man,2000,5.0,tt0213749
16,Short,Quiero ser (I want to be...),2000,6.0,tt0216131
17,Short,Somewhere Else,2000,,tt0217813
18,Short,John Henry,2000,10.0,tt0219105
19,Short,The Window,2000,2.0,tt0221711
20,Short,Der Apfel,2000,4.0,tt0221802
21,Short,Flamenco Shoe,2000,,tt0221181
22,Short,Into My Arms,2000,,tt0223535
23,Short,Broken,2000,9.0,tt0225223
24,Short,Coven,2000,6.0,tt0225434
25,Short,Flying Over Mother,2000,4.0,tt0225763
26,Short,A Drogaria,2000,,tt0228241
27,Short,Ghosthunter,2000,9.0,tt0229130
28,Short,"Friday Night, NYC",2000,,tt0229400
29,Short,Um Dia na Vida,2000,,tt0229805
30,Short,Angels in a Cage,2000,,tt0231144
31,Short,Olhos Mortos,2000,,tt0232217
32,Short,Château de sable,2000,,tt0233455
33,Short,Olivia's Story,2000,2.0,tt0234375
34,Short,Plus rien...,2000,,tt0235678
35,Short,Plunge,2000,9.0,tt0234482
36,Short,Lucky,2000,2.0,tt0236455
37,Short,Desire,2000,12.0,tt0235339
38,Short,Kovat miehet,2000,3.0,tt0236398
39,Short,Kuppet,2000,9.0,tt0236400
40,Short,O Céu Que Nos Impede,2000,,tt0237129
41,Short,Destiny Stalled,2000,6.0,tt0238148
42,Short,The Book of Ezekiel,2000,2.0,tt0238095
43,Short,Yksityisetsivän tytär,2000,5.0,tt0238742
44,Short,Roadblock,2000,10.0,tt0238560
45,Short,"Men Named Milo, Women Named Greta",2000,1.0,tt0238410
46,Short,Soins et beauté,2000,5.0,tt0240007
47,Short,Afsporet,2000,,tt0240324
48,Short,"Hop, Skip & Jump",2000,2.0,tt0239469
49,Short,Last Mistake,2000,,tt0240671
50,Short,Quantum Project,2000,5.0,tt0239860
51,Short,Friday,2000,1.0,tt0240517
52,Short,Taivas tiellä,2000,3.0,tt0244246
53,Short,Legends: The Story of Siwash Rock,2000,1.0,tt0243380
54,Short,The Shangri-la Café,2000,,tt0243549
55,Short,Kampvuur,2000,9.0,tt0244577
56,Short,Anino,2000,5.0,tt0245718
57,Short,Des morceaux de ma femme,2000,5.0,tt0245862
58,Short,Near to You,2000,,tt0245312
59,Short,Brother,2000,10.0,tt0245024
60,Short,The Last Supper,2000,,tt0245225
61,Short,Der Ausbruch,2000,5.0,tt0244983
62,Short,Bird of Passage,2000,,tt0245775
63,Short,Hungry,2000,11.0,tt0245161
64,Short,Maries Herz,2000,4.0,tt0246066
65,Short,Better or Worse?,2000,5.0,tt0245764
66,Short,Weeki Wachee Girls,2000,4.0,tt0246325
67,Short,The Cave,2000,,tt0247961
68,Short,Sind Sie Luigi?,2000,11.0,tt0246929
69,Short,Fraud,2000,,tt0247364
70,Short,Les éléphants de la planète Mars,2000,,tt0247312
71,Short,The Man with the Beautiful Eyes,2000,10.0,tt0247500
72,Short,Amores que matan,2000,11.0,tt0250956
73,Short,Perhesauna,2000,3.0,tt0249078
74,Short,La promesse,2000,5.0,tt0250674
75,Short,Beipan,2000,7.0,tt0252268
76,Short,Svobodna si. Odloci se.,2000,,tt0250827
77,Short,Primer amor,2000,,tt0251352
78,Short,Mi abuelo es un animal,2000,,tt0251261
79,Short,Vater und Tochter,2000,,tt0252081
80,Short,Crush,2000,5.0,tt0253011
81,Short,Machine 11/Automaten Elf,2000,,tt0252670
82,Short,Pumpkin Hill,2000,4.0,tt0256288
83,Short,À corps perdu,2000,4.0,tt0255715
84,Short,Civil War Essay,2000,,tt0257488
85,Short,La dérive,2000,5.0,tt0257577
86,Short,Time with Nyenne,2000,,tt0258253
87,Short,Viimeinen kesäpäivä,2000,10.0,tt0258289
88,Short,Cuôc xe dêm,2000,5.0,tt0259955
89,Short,Ze Igamer Bebechi,2000,7.0,tt0259115
90,Short,Bring Me Your Love,2000,,tt0259228
91,Short,Genesis and Catastrophe,2000,10.0,tt0259323
92,Short,Kinu'ach,2000,,tt0260124
93,Short,Through Riley's Eyes,2000,9.0,tt0262044
94,Short,Carpe Diem,2000,,tt0260784
95,Short,Urban Chaos Theory,2000,,tt0261377
96,Short,King's Ransom,2000,,tt0262544
97,Short,Odessa,2000,9.0,tt0261123
98,Short,Camera,2000,,tt0260776
99,Short,Das rote Strumpfband,2000,,tt0261679
100,Short,Safe Sex,2000,11.0,tt0262741
101,Short,David Proshker,2000,,tt0263253
102,Short,Een lift,2000,,tt0264797
103,Short,Cul de sac,2000,11.0,tt0263242
104,Short,Le centre du monde,2000,,tt0264467
105,Short,East of West,2000,12.0,tt0263300
106,Short,Trappenhuis,2000,,tt0265893
107,Short,Likegyldighet,2000,8.0,tt0265286
108,Short,La secreto maximal de la familia,2000,,tt0265721
109,Short,Misunnelse,2000,8.0,tt0265329
110,Short,Strawberry Flavour,2000,,tt0265816
111,Short,Walking on the Wild Side,2000,10.0,tt0266031
112,Short,What Where,2000,,tt0266042
113,Short,Fade out,2000,,tt0264608
114,Short,Zwang,2000,9.0,tt0264213
115,Short,Still,2000,9.0,tt0265809
116,Short,Lion's Mouth,2000,8.0,tt0265287
117,Short,1. de ei,2000,,tt0267238
118,Short,President Pig en de 3 wolfjes,2000,,tt0267847
119,Short,Breathe,2000,11.0,tt0266365
120,Short,Young Americans,2000,10.0,tt0266080
121,Short,Saadia: A Moroccan Woman in the Resistance,2000,10.0,tt0265681
122,Short,Buskers,2000,11.0,tt0266379
123,Short,L'hôtel des Thermes,2000,10.0,tt0267564
124,Short,Window,2000,11.0,tt0267117
125,Short,Hindsight,2000,,tt0266625
126,Short,Utukt,2000,8.0,tt0265965
127,Short,Once,2000,,tt0267801
128,Short,Passengers,2000,,tt0269697
129,Short,Motorcycle,2000,10.0,tt0269572
130,Short,Speed for Thespians,2000,7.0,tt0269899
131,Short,The Valentine,2000,,tt0270026
132,Short,Untitled,2000,11.0,tt0270717
133,Short,The Passage,2000,8.0,tt0270565
134,Short,Episodes,2000,,tt0273571
135,Short,Subrosa,2000,9.0,tt0271214
136,Short,La cama cinco,2000,12.0,tt0270264
137,Short,Strandgut,2000,7.0,tt0271212
138,Short,Felicity's View,2000,4.0,tt0271501
139,Short,Sweet Dreams,2000,8.0,tt0271217
140,Short,Zivi mrtvaci,2000,,tt0271887
141,Short,De afdaling,2000,1.0,tt0271953
142,Short,Slobodno mesto,2000,3.0,tt0274091
143,Short,Coming to Terms,2000,10.0,tt0274440
144,Short,The Best Girl,2000,10.0,tt0274366
145,Short,La télévision,2000,,tt0275004
146,Short,Grand oral,2000,9.0,tt0275383
147,Short,Clean Rite Cowboy,2000,,tt0276019
148,Short,"Foxy Lady, Wild Cherry",2000,9.0,tt0276146
149,Short,Adam and Steve,2000,10.0,tt0275896
150,Short,Le p'tit Varius,2000,,tt0276383
151,Short,Through Thick and Thin,2000,8.0,tt0278093
152,Short,Test,2000,1.0,tt0278090
153,Short,Vader en dochter,2000,9.0,tt0279079
154,Short,Versus,2000,,tt0278801
155,Short,Moosh,2000,9.0,tt0279572
156,Short,Mehari,2000,,tt0280931
157,Short,Film,2000,1.0,tt0281856
158,Short,Grandfather's Birthday,2000,4.0,tt0281892
159,Short,Master Shot,2000,2.0,tt0283471
160,Short,Heads,2000,,tt0281904
161,Short,Film(lode),2000,9.0,tt0282694
162,Short,Unter Wasser,2000,,tt0281323
163,Short,El funeral de los dedos,2000,12.0,tt0280691
164,Short,You'll Do,2000,,tt0281389
165,Short,Obscuratio,2000,12.0,tt0281005
166,Short,...Lost.,2000,6.0,tt0283820
167,Short,The Mountain King,2000,4.0,tt0284324
168,Short,Hidden,2000,8.0,tt0284185
169,Short,Mool ahn kyung,2000,10.0,tt0282756
170,Short,Donnerstag um vier,2000,8.0,tt0284062
