,Genero,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Drama,Short,Milkshake,2021,12.0,tt10011052
1,Drama,Short,Garden of Paradise,2021,12.0,tt10033714
2,Drama,Short,Welcome to Mumbai,2021,3.0,tt10040326
3,Drama,Short,LO2SS,2021,8.0,tt10048746
4,Drama,Short,40 Nickels,2021,3.0,tt10049134
5,Drama,Short,The Long Halloween,2021,10.0,tt10049710
6,Drama,Short,Taken for Granted,2021,5.0,tt10074108
7,Drama,Short,Sour Milk,2021,12.0,tt10116030
8,Drama,Short,The Worst Day of My Life,2021,1.0,tt10116000
9,Drama,Short,Szembesülés,2021,10.0,tt10126104
10,Drama,Short,Inside the Notebook,2021,1.0,tt10121942
11,Drama,Short,Girls Are Strong Here,2021,2.0,tt10130050
12,Drama,Short,Burn,2021,4.0,tt10136966
13,Drama,Short,God in the Sky,2021,11.0,tt10137298
14,Drama,Short,R[evol]ution of Love,2021,1.0,tt10160440
15,Drama,Short,Port Radacini,2021,3.0,tt10160712
16,Drama,Short,A Living Sculpture,2021,1.0,tt10160948
17,Drama,Short,Peninsula,2021,6.0,tt10162788
18,Drama,Short,The Road Kid,2021,,tt10165720
19,Drama,Short,Don't kill my dreams,2021,,tt10173624
20,Drama,Short,This River,2021,1.0,tt10178240
21,Drama,Short,Growing Season,2021,,tt10202368
22,Drama,Short,Instinct,2021,1.0,tt10209778
23,Drama,Short,Nada de Bom acontece depois dos 30,2021,7.0,tt10211236
24,Drama,Short,Hidden,2021,4.0,tt10214926
25,Drama,Short,The Exit Interview,2021,,tt10217312
26,Drama,Short,Playboy Eddy,2021,2.0,tt10223204
27,Drama,Short,An Interloper's Kiss,2021,11.0,tt10232622
28,Drama,Short,Cookie,2021,2.0,tt10255620
29,Drama,Short,"Cercueil, tabarnak!",2021,10.0,tt10264392
30,Drama,Short,Four Strokes,2021,2.0,tt10265126
31,Drama,Short,Bedtime story for ghosts,2021,8.0,tt10263160
32,Drama,Short,Restoration,2021,7.0,tt10262172
33,Drama,Short,Pornstar,2021,5.0,tt10268132
34,Drama,Short,Proof of God,2021,6.0,tt10288032
35,Drama,Short,Graduation Afternoon,2021,1.0,tt10293032
36,Drama,Short,Aimbot,2021,,tt10308068
37,Drama,Short,The Woman Who Predicted Her Own Death,2021,11.0,tt10323164
38,Drama,Short,Le Sablier,2021,9.0,tt10324186
39,Drama,Short,Years,2021,9.0,tt10332270
40,Drama,Short,Mr Whippy,2021,1.0,tt10342478
41,Drama,Short,The Girl Sitting Here,2021,6.0,tt10348936
42,Drama,Short,Forevering,2021,2.0,tt10348902
43,Drama,Short,The Good Balloon,2021,2.0,tt10350572
44,Drama,Short,The Simplicity of Life,2021,,tt10350920
45,Drama,Short,Ts'ekoo Cha Ke: The Girl with Big Feet,2021,,tt10353864
46,Drama,Short,Peyman,2021,12.0,tt10358578
47,Drama,Short,Gris,2021,,tt10365704
48,Drama,Short,Tab,2021,2.0,tt10363182
49,Drama,Short,Alba,2021,1.0,tt10365862
50,Drama,Short,Piano Lessons,2021,9.0,tt10369560
51,Drama,Short,Bella Wild,2021,,tt10373668
52,Drama,Short,Delivery,2021,4.0,tt10373608
53,Drama,Short,Dogs,2021,3.0,tt10376530
54,Drama,Short,Suspended,2021,9.0,tt10378806
55,Drama,Short,Melody,2021,1.0,tt10381288
56,Drama,Short,Marco & Polo Go Round,2021,6.0,tt10383780
57,Drama,Short,Slot,2021,8.0,tt10388514
58,Drama,Short,Nola,2021,1.0,tt10397810
59,Drama,Short,Just Johnny,2021,,tt10399532
60,Drama,Short,Seelenschatten,2021,1.0,tt10426186
61,Drama,Short,Carrol Lynn,2021,8.0,tt10431668
62,Drama,Short,"Tinerete, dulce batranete...",2021,,tt10433734
63,Drama,Short,Petra,2021,,tt10449406
64,Drama,Short,"Sail On, My Love",2021,2.0,tt10451004
65,Drama,Short,Apatrides,2021,9.0,tt10461698
66,Drama,Short,Donkeys,2021,5.0,tt10464802
67,Drama,Short,Conductor,2021,,tt10474800
68,Drama,Short,Riding Liberty,2021,10.0,tt10479784
69,Drama,Short,Captive,2021,3.0,tt10482866
70,Drama,Short,A Better Friend,2021,9.0,tt10483856
71,Drama,Short,A Mutual Understanding,2021,9.0,tt10487984
72,Drama,Short,Girl Beast,2021,,tt10498052
73,Drama,Short,Ictus,2021,6.0,tt10509924
74,Drama,Short,Silver Flask,2021,4.0,tt10517736
75,Drama,Short,Radley,2021,,tt10518812
76,Drama,Short,The Award Ceremony,2021,4.0,tt10522608
77,Drama,Short,Rachel in the Dark Room,2021,11.0,tt10533540
78,Drama,Short,The Hole,2021,5.0,tt10544106
79,Drama,Short,Origin,2021,1.0,tt10544116
80,Drama,Short,Okiagari,2021,1.0,tt10545658
81,Drama,Short,Boshack,2021,10.0,tt10546172
82,Drama,Short,Being Brave,2021,1.0,tt10551584
83,Drama,Short,Fighting Ghosts,2021,6.0,tt10553408
84,Drama,Short,The Truth About Dreaming,2021,,tt10553930
85,Drama,Short,Eingehüllt,2021,10.0,tt10560282
86,Drama,Short,Ageusia,2021,,tt10573952
87,Drama,Short,Othaniel,2021,,tt10592782
88,Drama,Short,Do-Nothings,2021,4.0,tt10607058
89,Drama,Short,A Chant,2021,2.0,tt10622284
90,Drama,Short,Port Tesaturi,2021,,tt10634918
91,Drama,Short,Baba,2021,,tt10645274
92,Drama,Short,Awaken,2021,5.0,tt10648352
93,Drama,Short,Rotten,2021,12.0,tt10655036
94,Drama,Short,Inertia,2021,8.0,tt10665422
95,Drama,Short,Sorry for Your Loss,2021,10.0,tt10681682
96,Drama,Short,1969,2021,2.0,tt10685024
97,Drama,Short,Sick Fuck,2021,12.0,tt10691448
98,Drama,Short,Bella,2021,2.0,tt10699260
99,Drama,Short,Bright,2021,11.0,tt10697676
100,Drama,Short,Sheer Qorma,2021,6.0,tt10709592
101,Drama,Short,Mind Games,2021,8.0,tt10716904
102,Drama,Short,Sing (to me),2021,9.0,tt10738602
103,Drama,Short,"In fata marii, sub glia temeteului",2021,11.0,tt10736286
104,Drama,Short,A Blue Shroud,2021,3.0,tt10736172
105,Drama,Short,Mustard,2021,2.0,tt10746680
106,Drama,Short,Akvarium,2021,,tt10768602
107,Drama,Short,My Own Mecca,2021,12.0,tt10782720
108,Drama,Short,Who We Are,2021,2.0,tt10786894
109,Drama,Short,I Hope They Remember My Name,2021,3.0,tt10790184
110,Drama,Short,Heat,2021,3.0,tt10805740
111,Drama,Short,Beast Show,2021,1.0,tt10814820
112,Drama,Short,Quiet Storms,2021,,tt10815898
113,Drama,Short,Alone,2021,,tt10833172
114,Drama,Short,Torasidis Last Masterpiece,2021,12.0,tt10834016
115,Drama,Short,Comme des grands,2021,7.0,tt10837310
116,Drama,Short,CheckMate,2021,8.0,tt10838698
117,Drama,Short,Where I'll Stay,2021,9.0,tt10843204
118,Drama,Short,Gamut,2021,,tt10849714
119,Drama,Short,Glimpse,2021,,tt10855054
120,Drama,Short,The Curious Woods,2021,,tt10863602
121,Drama,Short,Ex's Anonymous,2021,12.0,tt10868062
122,Drama,Short,Close Ties to Home Country,2021,4.0,tt10874280
123,Drama,Short,Powerless,2021,10.0,tt10883230
124,Drama,Short,Bli,2021,,tt10889752
125,Drama,Short,Wayfarers,2021,5.0,tt10907898
126,Drama,Short,Sarah's Choice,2021,12.0,tt10907150
127,Drama,Short,S'ammutadori,2021,,tt10905828
128,Drama,Short,Night Hoppers,2021,,tt10911990
129,Drama,Short,Les Piliers Défaillants,2021,9.0,tt10913636
130,Drama,Short,Deliverance,2021,6.0,tt10920502
131,Drama,Short,The Bends,2021,8.0,tt10923116
132,Drama,Short,Ben,2021,10.0,tt10941044
133,Drama,Short,Rose,2021,7.0,tt10947128
134,Drama,Short,Wrecked,2021,8.0,tt10949052
135,Drama,Short,Under the Mercy,2021,10.0,tt10949768
136,Drama,Short,Diminished,2021,12.0,tt10952024
137,Drama,Short,All-In,2021,2.0,tt10953880
138,Drama,Short,Uncle,2021,5.0,tt10954458
139,Drama,Short,What We don't know about Mariam,2021,,tt10959348
140,Drama,Short,Lennä,2021,,tt10961188
141,Drama,Short,Es Navidad,2021,,tt10959336
142,Drama,Short,Fish Out of Water,2021,,tt10969224
143,Drama,Short,Monopoly Game,2021,,tt10980954
144,Drama,Short,Making Beethoven Proud,2021,2.0,tt10994156
145,Drama,Short,"No Law, No Heaven",2021,5.0,tt11000672
146,Drama,Short,Petra,2021,3.0,tt11004574
147,Drama,Short,Chasing Cars,2021,1.0,tt11011272
148,Drama,Short,The Ghost of Something More,2021,,tt11021772
149,Drama,Short,Whalebone,2021,5.0,tt11042878
150,Drama,Short,Grey Sea,2021,6.0,tt11043522
151,Drama,Short,Mummy Brown,2021,2.0,tt11044090
152,Drama,Short,Cassoulet,2021,,tt11046630
153,Drama,Short,Ink,2021,,tt11050440
154,Drama,Short,Brødrene,2021,9.0,tt11055560
155,Drama,Short,Breadcrumbs,2021,5.0,tt11061916
156,Drama,Short,The Fullest Day of Summer,2021,3.0,tt11065194
157,Drama,Short,Beneath the fire,2021,12.0,tt11070724
158,Drama,Short,Opal,2021,3.0,tt11081318
159,Drama,Short,A Good Couple,2021,9.0,tt11083280
160,Drama,Short,Vikalp,2021,8.0,tt11086286
161,Drama,Short,Gud,2021,8.0,tt11086104
162,Drama,Short,Greg,2021,1.0,tt11092496
163,Drama,Short,Middle of Nowhere,2021,1.0,tt11095494
164,Drama,Short,The Long Haul,2021,,tt11101812
165,Drama,Short,Going Under,2021,4.0,tt11112028
166,Drama,Short,The Don,2021,1.0,tt11114792
167,Drama,Short,"Wanda, Do the Work",2021,,tt11121578
168,Drama,Short,Mater Mortis,2021,,tt11126992
169,Drama,Short,The Clown,2021,2.0,tt11131160
170,Drama,Short,Vagabond,2021,9.0,tt11137438
171,Drama,Short,Moving Out,2021,10.0,tt11136418
172,Drama,Short,Nagypapa,2021,6.0,tt11138236
173,Drama,Short,"I Wanna Make a Movie, or I Wanna Die Trying",2021,2.0,tt11151074
174,Drama,Short,Paintless,2021,7.0,tt11155802
175,Drama,Short,Unplugged,2021,11.0,tt11154218
176,Drama,Short,Dolly,2021,11.0,tt11162220
177,Drama,Short,Coyote,2021,3.0,tt11163066
178,Drama,Short,Corn,2021,9.0,tt11162224
179,Drama,Short,Home Again,2021,9.0,tt11166472
180,Drama,Short,Kakerlak,2021,10.0,tt11172672
181,Drama,Short,A Glimpse Into Trauma,2021,12.0,tt11183332
182,Drama,Short,Growth,2021,,tt11192394
183,Drama,Short,Good Grief,2021,,tt11192736
184,Drama,Short,Inner Calling,2021,3.0,tt11194056
185,Drama,Short,Boysugar,2021,9.0,tt11198136
186,Drama,Short,Wayward,2021,3.0,tt11203132
187,Drama,Short,Pray They Stand Down,2021,3.0,tt11212278
188,Drama,Short,Sunday's Child,2021,5.0,tt11213404
189,Drama,Short,A Great Expanse,2021,1.0,tt11226358
190,Drama,Short,"Happy Birthday, Corey",2021,,tt11230174
191,Drama,Short,Life...,2021,,tt11235876
192,Drama,Short,A Summer Place,2021,3.0,tt11239486
193,Drama,Short,Super Bois,2021,1.0,tt11236294
194,Drama,Short,Growing Pains,2021,10.0,tt11238748
195,Drama,Short,The Jungle,2021,,tt11240806
196,Drama,Short,The Lost Wife,2021,3.0,tt11241198
197,Drama,Short,Dance Card's Full,2021,11.0,tt11241724
198,Drama,Short,The Duel,2021,12.0,tt11242792
199,Drama,Short,Burros,2021,6.0,tt11246630
200,Drama,Short,Time,2021,,tt11246768
201,Drama,Short,In the Desert of Dark and Light,2021,9.0,tt11247700
202,Drama,Short,The Climbing Perch,2021,,tt11252308
203,Drama,Short,Intervention,2021,2.0,tt11251756
204,Drama,Short,The Girl who Dreamt Instead,2021,9.0,tt11256508
205,Drama,Short,Pink,2021,4.0,tt11259728
206,Drama,Short,Thicker Than Water,2021,4.0,tt11274622
207,Drama,Short,Gas-Shaped Light,2021,,tt11281294
208,Drama,Short,Back to the Cage,2021,1.0,tt11282090
209,Drama,Short,Little Soul,2021,1.0,tt11290778
210,Drama,Short,Transmission,2021,7.0,tt11291254
211,Drama,Short,All the Things You Are,2021,,tt11296542
212,Drama,Short,American Morning,2021,,tt11304644
213,Drama,Short,Estilo Americano,2021,,tt11306178
214,Drama,Short,Beautiful They,2021,6.0,tt11305914
215,Drama,Short,Reavey Brothers,2021,12.0,tt11306262
216,Drama,Short,Trøllabeiggi,2021,2.0,tt11307554
217,Drama,Short,La Noche en el Paraiso,2021,7.0,tt11306946
218,Drama,Short,Southern Burbank,2021,,tt11306882
219,Drama,Short,Une histoire de femmes,2021,,tt11311288
220,Drama,Short,Å ha det bra,2021,10.0,tt11313094
221,Drama,Short,A Will to Change,2021,2.0,tt11317388
222,Drama,Short,A Father's Burden,2021,2.0,tt11321956
223,Drama,Short,Escapade,2021,6.0,tt11323362
224,Drama,Short,Getaway,2021,2.0,tt11322816
225,Drama,Short,Kaira,2021,7.0,tt11333008
226,Drama,Short,Slip,2021,11.0,tt11336098
227,Drama,Short,Leonidas,2021,3.0,tt11337834
228,Drama,Short,Sin,2021,6.0,tt11344036
229,Drama,Short,Blueberries,2021,1.0,tt11343208
230,Drama,Short,"Miss You, Dad",2021,9.0,tt11348438
231,Drama,Short,Under the Heavens,2021,3.0,tt11352002
232,Drama,Short,Roadblock,2021,11.0,tt11355510
233,Drama,Short,Villhester,2021,6.0,tt11359160
234,Drama,Short,Birthday Boy,2021,,tt11363862
235,Drama,Short,Veteran Affairs,2021,,tt11378940
236,Drama,Short,Kim's,2021,,tt11378890
237,Drama,Short,Beta,2021,,tt11378726
238,Drama,Short,A Frame of Mind,2021,4.0,tt11384312
239,Drama,Short,Homegoing,2021,8.0,tt11383808
240,Drama,Short,Homebound,2021,7.0,tt11399696
241,Drama,Short,Faith,2021,1.0,tt11401130
242,Drama,Short,Thole,2021,,tt11410008
243,Drama,Short,Jagged Joy,2021,,tt11409458
244,Drama,Short,sk8erboi,2021,,tt11417880
245,Drama,Short,Heatwave,2021,12.0,tt11429548
246,Drama,Short,En Suite,2021,5.0,tt11427786
247,Drama,Short,Pizza Boy,2021,,tt11435582
248,Drama,Short,Chalk,2021,,tt11437092
249,Drama,Short,The Act of Indemnity,2021,,tt11440924
250,Drama,Short,Hockley Types,2021,3.0,tt11442176
251,Drama,Short,Immortal,2021,5.0,tt11448530
252,Drama,Short,Prisoner,2021,2.0,tt11459374
253,Drama,Short,Apartment Story,2021,,tt11453170
254,Drama,Short,Afentheater,2021,3.0,tt11462182
255,Drama,Short,Three Quarters,2021,10.0,tt11464562
256,Drama,Short,Soldier Plant,2021,10.0,tt11464632
257,Drama,Short,Through These Doors,2021,8.0,tt11472772
258,Drama,Short,A Void,2021,10.0,tt11471250
259,Drama,Short,"Wish, I Was There",2021,,tt11474166
260,Drama,Short,Tweaks,2021,2.0,tt11471296
261,Drama,Short,42 Minutes,2021,8.0,tt11471894
262,Drama,Short,Rendezvous,2021,9.0,tt11473942
263,Drama,Short,La Sombra de Tu Sonrisa,2021,2.0,tt11505844
264,Drama,Short,Waking Up,2021,3.0,tt11512026
265,Drama,Short,Evie Rose,2021,1.0,tt11524124
266,Drama,Short,Jerrycan,2021,11.0,tt11527600
267,Drama,Short,Sonata,2021,2.0,tt11526646
268,Drama,Short,Facades,2021,5.0,tt11529588
269,Drama,Short,Find Your Faith,2021,7.0,tt11536594
270,Drama,Short,Spirits (Poyvfeckv),2021,10.0,tt11552480
271,Drama,Short,The Jungles,2021,5.0,tt11554930
272,Drama,Short,Catharsis,2021,8.0,tt11558632
273,Drama,Short,Birds Fly Home,2021,2.0,tt11563664
274,Drama,Short,Swearing,2021,6.0,tt11570344
275,Drama,Short,Joy,2021,10.0,tt11570620
276,Drama,Short,The Nipple Whisperer,2021,3.0,tt11575400
277,Drama,Short,Standing on Your Grave,2021,7.0,tt11578718
278,Drama,Short,Birthday,2021,3.0,tt11581378
279,Drama,Short,Greetings from Sarajevo,2021,6.0,tt11590164
280,Drama,Short,Green,2021,10.0,tt11591420
281,Drama,Short,Silenced,2021,,tt11604286
282,Drama,Short,Swimming,2021,10.0,tt11608184
283,Drama,Short,Serving Love,2021,,tt11611154
284,Drama,Short,Shevolution,2021,1.0,tt11616356
285,Drama,Short,Nuestro Último Baile,2021,2.0,tt11613994
286,Drama,Short,The Punishment,2021,2.0,tt11620582
287,Drama,Short,Revenge,2021,8.0,tt11621700
288,Drama,Short,Hot Mother,2021,11.0,tt11628538
289,Drama,Short,Presents,2021,10.0,tt11626402
290,Drama,Short,Join the Birds,2021,7.0,tt11627574
291,Drama,Short,Endless Yesterdays,2021,3.0,tt11638888
292,Drama,Short,Her Majesty,2021,11.0,tt11640776
293,Drama,Short,Skumjas,2021,9.0,tt11644410
294,Drama,Short,Oxymoron of Eternity,2021,,tt11644322
295,Drama,Short,Discofuneral,2021,9.0,tt11651804
296,Drama,Short,Ikaw at Ako,2021,2.0,tt11651608
297,Drama,Short,You Really Got Me,2021,4.0,tt11656132
298,Drama,Short,How to Protect Your Family,2021,5.0,tt11662762
299,Drama,Short,Love Letter to Mom,2021,4.0,tt11662054
300,Drama,Short,The Argument,2021,,tt11663244
301,Drama,Short,Cactus & Mime,2021,6.0,tt11669506
302,Drama,Short,Monkey Bars,2021,3.0,tt11668208
303,Drama,Short,Broken Layers,2021,,tt11674566
304,Drama,Short,Anima Us,2021,2.0,tt11674486
305,Drama,Short,Just A Girl,2021,1.0,tt11679248
306,Drama,Short,Hijas Mías,2021,3.0,tt11679742
307,Drama,Short,Amrak My New Family,2021,8.0,tt11685090
308,Drama,Short,Semi-Detached,2021,,tt11683330
309,Drama,Short,Lovers language,2021,1.0,tt11685584
310,Drama,Short,West Park,2021,3.0,tt11686156
311,Drama,Short,Poker Night,2021,10.0,tt11685874
