,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,['Andrew Henry'],DESCONOCIDO,Shopping carts come to life and terroize a young couple in a parking lot.,--,Cartilage
1,--,['Angela Stablein'],DESCONOCIDO,"Mona lives alone with her cat Pablo, but Pablo does not satisfy her needs and desires. The film reminisces on Mona's dysfunctional ex-boyfriends... as she must decide who is the best man for her.",--,Mona and Pablo
2,--,['Mark Goffman'],DESCONOCIDO,A grad student keeps dating women on the rebound from past relationships.,--,Rebound Guy
3,7.8,['Lonny Zion'],DESCONOCIDO,,--,Bacon Wagon
4,8.3,['Jennifer Perrott'],DESCONOCIDO,A comic tale of the great lengths a passionate gardener will go to in order to save his dying plant.,--,A Matter of Life
5,7.9,['Benjamin Goldman'],DESCONOCIDO,A grocery clerk rushes to primp and preen before his first date with the woman of his dreams. But a chatty stinkbug enters and threatens to spray away all of his romantic aspirations.,--,The Pickle Jar
6,--,['Maurice A. Dwyer'],DESCONOCIDO,"When is enough, enough? Charity Phillips returns home after yet another date, but this time it's different. One date too many; now it's time to make a choice. Should she give in to what they want?",--,For Charity's Sake
7,7.5,['Lee Waters'],"['Johari Johnson', 'Michael Ann Young']",Two sexy space sirens come down to earth from the distant planet Siberon. We watch their journey as they make their way up the ladder of power and prestige till they reach the top! The Siren's goal - to destroy the Human race. Their Weapon - the Hollywood hype machine. Sexy Space Sirens from Siberon is a dark twisted comedy that takes a jab at Hollywood and all it has... Read all,--,Sexy Space Sirens from Siberon
8,--,['Jamil Said'],"['Jesse Lovell', 'Jamil Said']","A demented young professional will do anything to create a serial killer theme park even if it means manipulating missionaries, hiring drag queens, and killing socialites to do it.",--,Byromania
9,8.1,['Marco Bertoldo'],DESCONOCIDO,,--,Gone Bad
10,--,['Tony Bacigalupi'],DESCONOCIDO,,--,The Route
11,4.6,['Janeane Garofalo'],DESCONOCIDO,,--,Housekeeping
12,8.3,['Clara Glynn'],DESCONOCIDO,"Takes place over one day in the seaside town of Worthing. (UK) Rose is a young woman with a tangled love life. After ecstatically agreeing to marry Henry, she charges around town telling a succession of other boyfriends that their relationship is over. Each time she learns another unpalatable truth about herself. Until finally she makes it to the Italian restuarant wh... Read all",--,"It's Not You, It's Me"
13,6.1,['Shimmy Marcus'],DESCONOCIDO,Poor Ivor can't sleep. Masturbation is his last resort but it's not without its drawbacks.,--,Ivor the Insomniac
14,6.5,['Anthony Penta'],DESCONOCIDO,"An antiquarian tries to rid himself of a rare, albeit cursed book. The story unfolds in the telling of the alphabet, ala Ed Gorey.",--,The Hapless Antiquarian
15,7.9,['Laurits Munch-Petersen'],DESCONOCIDO,"The farmerboy, Niels Anders, is stopped on his motorbike by a desperate criminal couple, who just escaped prison. They want to steal his bike, buy they don't know how to drive it. Instead they force Niels Anders to bring them along. As Niels Anders gets a crush on the woman, he makes up a plan to get rid of her violent man, cause he knows that you shouldn't let other ... Read all",--,Tre på en motorcykel
16,--,['Sören Schulz'],DESCONOCIDO,"Beatrice is in love with famous TV-cook Rick. One day she wins a date with him, but the letter telling her this gets lost and finally arrives on the very day of their date. Full of joy and terror Beatrice faints and wakes up only 30 minutes before Rick is going to arrive...",--,Liebe geht durch den Magen
17,--,['Paul Quarrington'],DESCONOCIDO,,--,A Man's Life
18,5.7,['Scott Fuselier'],DESCONOCIDO,"Down and out Baxter Cratznick would love only to have a romantic relationship with his secret crush: lifelong friend, Angie. Unfortunately, Baxter's maliciously evil bad luck is all but impossible to overcome. Yet, on a Vail ski trip with Angie and mutual friend, Jeff; a chance encounter with an angry Forest Gnome will render Baxter's luck the luckiest on earth. The r... Read all",--,The Omen of Motley Crue
19,8.6,['Matt Bloom'],DESCONOCIDO,Slapstick comedy about a teenage lad trying in vain to get a job in a cruel city,--,Yes You Can
20,5.4,['Paolo Sorrentino'],"['Paolo Sorrentino', 'Anna Mittone']",The story of an ambitious hair-stylist.,--,The Long Night
21,--,['Yew Kwang Han'],DESCONOCIDO,"Huang, a middle-aged driving tester, has a problem- his 20th Wedding Anniversary is fast approaching and he has to fulfil a promise that he made to his wife 10 years ago- to bring her around the park on a bicycle. But till today, Huang has not mastered the skill of cycling. What will happen on the big day?",--,Pinball
22,6.7,['Gauri Shinde'],DESCONOCIDO,"A man is a loving, passionate, soulful, large-hearted, dedicated animal who happens to have bunked moral science classes in school.",--,Oh Man!
23,--,['George Kuchar'],DESCONOCIDO,,--,Chariots of Fear
24,6.1,['David Baer'],DESCONOCIDO,A caring guy learns that dating his actress girlfriend is definitely NOT the wisest decision.,--,Never Date an Actress
25,--,['Pascal Franchot'],DESCONOCIDO,,--,The Adventures of Rug Raymond
26,6.5,['Mike Walsh'],DESCONOCIDO,"When Doug and recently-dumped Josh decide to throw a party, they invite every wacko in the neighborhood. As soon as Josh is about to forget all his problems, Tara unexpectedly shows up, turning every head in the room. Josh wants her back, but can she possibly forgive him?",--,Best Friends
27,--,['Noel Harris'],DESCONOCIDO,"A dad spends nine months rocking his baby to sleep nightly to keep her from crying. In the process, he loses weight because he is doing exercises as he rocks the baby.",--,Colic
28,6.1,['David Michie'],"['John F. Schaffer', 'Scott Vinci']",,--,AppleJax and YoYo
29,--,['Robin Acutt'],DESCONOCIDO,,--,Cycles
30,--,['Robert Heath'],DESCONOCIDO,,--,Ice Cool Reception
31,8.1,DESCONOCIDO,DESCONOCIDO,"Molly, Star-Racers is the award winning pilot film for the series ""Oban Star-Racers"", which was released by Sav! The World Productions 5 years later.",--,"Molly, Star-Racer"
32,3.1,DESCONOCIDO,DESCONOCIDO,,--,Roundest Wheel
33,2.5,['Sandra J. Payne'],DESCONOCIDO,A loner shopping cart arrives at a new store and stirs up trouble with the other shopping carts.,--,The Secret Lives of Shopping Carts
34,--,['J.D. Cochran'],DESCONOCIDO,"The only thing tougher than becoming a CIA agent, is becoming a CIA assassin. Not only is the physical training taxing, but the mind games and psychological exercises can push recruits to the breaking point. All the pushing and prodding is necessary to ensure the right man for the job makes the cut, but what happens when the games backfire?!",--,The Right Man for the Job
35,--,['Daniel Drechsel-Grau'],DESCONOCIDO,,--,Nach dem Piepton
36,6.4,['Chris Roche'],DESCONOCIDO,Ernest heads into The Riblok Foundation for an interview that turns increasingly bizarre and a job that would make Kafka blush.,--,The Riblok Foundation
37,--,['Samad Zarmandili'],DESCONOCIDO,,--,Due e mezzo compreso il viaggio
38,7.5,['Rod Pitts'],DESCONOCIDO,"A dark comedy about a young sociopath, raised on violent cinema, who's always dreamed of being a serial killer and the length in which he goes in attempting to make his ex-girlfriend his first victim.",--,Rock and a Hard Place
39,--,['Daniel Farriol'],DESCONOCIDO,,--,"Casi humano, hermano"
40,--,['Daniel Farriol'],DESCONOCIDO,,--,Minipimer man
41,6.8,['Darren Walsh'],DESCONOCIDO,"Using his sister as his main prop, the Kid tells children everywhere the cautionary tale of Little Red Riding Hood. The family dog and baby also have roles as grandmother and the wolf. Will little sister get the message or the ax?",--,Jackanory
42,--,['Pablo Aragüés'],"['Pablo Aragüés', 'Álvaro Arrúe', 'Daniel Villa']",,--,Rodaje perfecto
43,--,DESCONOCIDO,"['Daniel Gamero', 'Pablo Matilla']",,--,Malicia
44,8.1,['Tim Kirkby'],"['Robert Popper', 'Peter Serafinowicz']",,--,Calcium
45,8.3,DESCONOCIDO,"['John Boswell', 'Susan Mosher', 'Hope Royaltey']",,--,Ca$hino
46,8.4,['Dave Lieber'],DESCONOCIDO,"Reaper, Sheeper, Treasure Seeker"" is a Clay/Puppet animated story about Death, a Sheep, and four Pirates, and how their lives coexist and intersect in a coincidental and cosmic fashion. Death, The Grim Reaper, hates his job, the Sheep is much better suited for Death's job, and the pirates are simply trying to do their own job. Three parallel story lines continue indep... Read all",--,"Reaper, Sheeper, Treasure Seeker"
47,--,['Rubén Coca'],DESCONOCIDO,,--,El fruto del tedio
48,--,['William Phelps'],"['William Phelps', 'York Alec Shackleton']",,--,Stealing Roy
49,--,['José Alberto Martín García'],DESCONOCIDO,,--,Juntos para siempre
50,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt0475363
51,--,['Vincent Garenq'],DESCONOCIDO,,--,Dernière séance
52,7.0,['Ulrich A. Kaiser'],DESCONOCIDO,,--,The Truly Last Bachelor
