,name,link
0,T.C. Storm Caldwell,"('T.C. Storm Caldwell', 'https://www.imdb.com/name/nm7792092/?ref_=tt_cl_t_1')"
1,Lucas Colterelli,"('Lucas Colterelli', 'https://www.imdb.com/name/nm12388411/?ref_=tt_cl_t_2')"
2,Patrick McDaniel,"('Patrick McDaniel', 'https://www.imdb.com/name/nm5057163/?ref_=tt_cl_t_3')"
3,Kyle Merker,"('Kyle Merker', 'https://www.imdb.com/name/nm8377582/?ref_=tt_cl_t_4')"
4,Ashton Montague Segree,"('Ashton Montague Segree', 'https://www.imdb.com/name/nm8547333/?ref_=tt_cl_t_5')"
5,Julie Stackhouse,"('Julie Stackhouse', 'https://www.imdb.com/name/nm6212900/?ref_=tt_cl_t_6')"
6,Jean-Michel Arsenault,"('Jean-Michel Arsenault', 'https://www.imdb.com/name/nm12431651/?ref_=tt_cl_t_1')"
7,Martin Arseneault,"('Martin Arseneault', 'https://www.imdb.com/name/nm12431484/?ref_=tt_cl_t_2')"
8,Rassim Benlabed,"('Rassim Benlabed', 'https://www.imdb.com/name/nm12431659/?ref_=tt_cl_t_3')"
9,Samia Benlabed,"('Samia Benlabed', 'https://www.imdb.com/name/nm12431657/?ref_=tt_cl_t_4')"
10,Maxime Besner,"('Maxime Besner', 'https://www.imdb.com/name/nm12431652/?ref_=tt_cl_t_5')"
11,Morgan Blondé,"('Morgan Blondé', 'https://www.imdb.com/name/nm12431658/?ref_=tt_cl_t_6')"
12,Alejandra Demers,"('Alejandra Demers', 'https://www.imdb.com/name/nm12431654/?ref_=tt_cl_t_7')"
13,Franco Guarnaccia,"('Franco Guarnaccia', 'https://www.imdb.com/name/nm12431482/?ref_=tt_cl_t_8')"
14,Loïc,"('Loïc', 'https://www.imdb.com/name/nm12431660/?ref_=tt_cl_t_9')"
15,Baby Perez,"('Baby Perez', 'https://www.imdb.com/name/nm12431656/?ref_=tt_cl_t_10')"
16,Calvin Royal III,"('Calvin Royal III', 'https://www.imdb.com/name/nm9067819/?ref_=tt_cl_t_1')"
17,Elijah Davis,"('Elijah Davis', 'https://www.imdb.com/name/nm7531283/?ref_=tt_cl_t_1')"
18,Michael Hawkins,"('Michael Hawkins', 'https://www.imdb.com/name/nm9561426/?ref_=tt_cl_t_2')"
19,Mehmet Bukulmez,"('Mehmet Bukulmez', 'https://www.imdb.com/name/nm12432170/?ref_=tt_cl_t_1')"
20,Cansu Firinci,"('Cansu Firinci', 'https://www.imdb.com/name/nm5578203/?ref_=tt_cl_t_2')"
21,Diyar Sancar,"('Diyar Sancar', 'https://www.imdb.com/name/nm12432171/?ref_=tt_cl_t_3')"
22,Mehmet Seker,"('Mehmet Seker', 'https://www.imdb.com/name/nm12432169/?ref_=tt_cl_t_4')"
23,Tuncay Tarhan,"('Tuncay Tarhan', 'https://www.imdb.com/name/nm3502124/?ref_=tt_cl_t_5')"
24,Mintaka Brower,"('Mintaka Brower', 'https://www.imdb.com/name/nm11403719/?ref_=tt_cl_t_1')"
25,Arykah Naomi DeVaughn,"('Arykah Naomi DeVaughn', 'https://www.imdb.com/name/nm10265218/?ref_=tt_cl_t_2')"
26,Tabitha Bass,"('Tabitha Bass', 'https://www.imdb.com/name/nm12060274/?ref_=tt_cl_t_3')"
27,Sydney Parks,"('Sydney Parks', 'https://www.imdb.com/name/nm10213199/?ref_=tt_cl_t_4')"
28,Brandi Campbell,"('Brandi Campbell', 'https://www.imdb.com/name/nm11410432/?ref_=tt_cl_t_5')"
29,Davion Mercado,"('Davion Mercado', 'https://www.imdb.com/name/nm10489781/?ref_=tt_cl_t_6')"
30,Jessica L. Watson,"('Jessica L. Watson', 'https://www.imdb.com/name/nm12464474/?ref_=tt_cl_t_7')"
31,Myles Patton,"('Myles Patton', 'https://www.imdb.com/name/nm11767093/?ref_=tt_cl_t_8')"
32,Candi Mcneil,"('Candi Mcneil', 'https://www.imdb.com/name/nm13237791/?ref_=tt_cl_t_9')"
33,Jeremiah DeVaughn,"('Jeremiah DeVaughn', 'https://www.imdb.com/name/nm13237792/?ref_=tt_cl_t_10')"
34,Karolína Ruzicková,"('Karolína Ruzicková', 'https://www.imdb.com/name/nm10343793/?ref_=tt_cl_t_1')"
35,Tomás Weber,"('Tomás Weber', 'https://www.imdb.com/name/nm10195292/?ref_=tt_cl_t_2')"
36,Marián Jaroslav Samek,"('Marián Jaroslav Samek', 'https://www.imdb.com/name/nm8395680/?ref_=tt_cl_t_3')"
37,Karla Staubertová,"('Karla Staubertová', 'https://www.imdb.com/name/nm9424471/?ref_=tt_cl_t_4')"
38,Yelitza García,"('Yelitza García', 'https://www.imdb.com/name/nm12433075/?ref_=tt_cl_t_1')"
39,Matt Hudson,"('Matt Hudson', 'https://www.imdb.com/name/nm1951310/?ref_=tt_cl_t_2')"
40,Paz Jurado,"('Paz Jurado', 'https://www.imdb.com/name/nm7224569/?ref_=tt_cl_t_1')"
41,Noaman Rahin,"('Noaman Rahin', 'https://www.imdb.com/name/nm9387285/?ref_=tt_cl_t_2')"
42,Thor Braun,"('Thor Braun', 'https://www.imdb.com/name/nm3871890/?ref_=tt_cl_t_1')"
43,Lars Brinkman,"('Lars Brinkman', 'https://www.imdb.com/name/nm11070890/?ref_=tt_cl_t_2')"
44,Leandro Ceder,"('Leandro Ceder', 'https://www.imdb.com/name/nm9786985/?ref_=tt_cl_t_3')"
45,Angélo Schuurmans,"('Angélo Schuurmans', 'https://www.imdb.com/name/nm3156449/?ref_=tt_cl_t_4')"
46,Hein van der Heijden,"('Hein van der Heijden', 'https://www.imdb.com/name/nm0374037/?ref_=tt_cl_t_5')"
47,Nina Gonzalez,"('Nina Gonzalez', 'https://www.imdb.com/name/nm12434711/?ref_=tt_cl_t_1')"
48,Kane Trujillo,"('Kane Trujillo', 'https://www.imdb.com/name/nm11986045/?ref_=tt_cl_t_2')"
49,Marianne Labriola,"('Marianne Labriola', 'https://www.imdb.com/name/nm8773438/?ref_=tt_cl_t_3')"
