,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,['Gamael Thercio'],['Tabyana Ali'],"Calvin, a workaholic on the verge of losing his wife Monica & son Damon because he is never around. Until one night Calvin gets visited in his sleep by his dead Uncle Mike, who comes to warn Calvin and show him a glimpse of how his future life looks like without Monica & Damon in it.",--,Before its too Late
1,--,['Simon Besner'],DESCONOCIDO,A road accident involving a mail truck causes a chance encounter on the outskirts of Montreal.,--,Acton Vale
2,--,DESCONOCIDO,['Joe Thayer'],,--,Next Door - Short
3,--,['Natalia Gomez'],['Andrii Didyk'],,--,Minor Chords
4,--,['Ryan Daniel'],['Ryan Daniel'],"Two men gear up for the biggest day of their lives, but one is much more hesitant about the 'big day' than the other.",--,Just Another Day
5,--,DESCONOCIDO,['Metin Avdaç'],,--,Naked/Çiplak
6,--,['TeQuilla DeVaughn'],['TeQuilla DeVaughn'],,--,The Repast
7,--,['J.P. Drumond'],['J.P. Drumond'],"When Dana, a runaway young woman is faced with the news that her father has passed, she will embark on a journey for redemption along with her coworker and grass carp lover, Dobromil.",--,Amuri
8,--,DESCONOCIDO,"['Yelitza García', 'Matt Hudson']",An unexpected visitor brings an unexpected revelation,--,One Door Opens
9,--,['Juan Francisco Calero'],DESCONOCIDO,,--,Love in the Age of Covid
10,7.0,['Tom Bakker'],['Tom Bakker'],"During the national commemoration of Remembrance Day in 1970, two men try to make a statement against gay discrimination. In the moments before and after the incident, their doubt, fear and firm belief becomes clear.",--,AYOR
11,--,['Savannah Braswell'],['Savannah Braswell'],A man recounts to the love of his life all the quirks and personality traits he remembers about her in an attempt to jog her memory.,--,Phillipa
12,--,['Kabir McNeely'],['Kabir McNeely'],A college student and her mother struggle to keep family relationships in their virtual realities.,--,Family Story
13,--,['William Grave'],['William Grave'],"Mark has a conversation with his 10 year old self and he hasn't met his younger self's expectations. He is in a hole. But, things take a positive turn, when his seventy year old self makes an appearance.",--,Benchmarks
14,8.3,['Milda Baginskaite'],['Suman Hanif'],True Colours is a parallel plot following teenagers Ayesha and Chloe who are neighbours yet inhabit very different worlds and think that the grass is greener on the other side. Ayesha's traditionalist mother has embedded a perception that correlates fairer skin tone with beauty and personal success thus she is in a dilemma to be true to herself but instead hides under... Read all,--,True Colours
15,6.0,['Piotr Trojan'],['Piotr Trojan'],"Thirty-three-year-old Eryk records a video blog about his preparations to start in his bodybuilding debuts. His overprotective mother helps him. Before the competition, the boy meets Mona. Their date will be Eric's clash with reality.",--,Synthol
16,--,['Patrick Langille'],['Patrick Langille'],A simple Dummy loses its job scaring people out of a park and must find a new purpose.,--,Scare
17,--,['Rico Johnson-Sinclair'],['Rico Johnson-Sinclair'],Kanem's choice to pursue a one night stand unravels.,--,Prey
18,--,['Zach Rineer'],"['Mike Macera', 'Zach Rineer']",A revelation involving Demo CDs causes the already strained relationship of a mother and her son to degrade further as pent up secrets are exposed.,--,Accept It
