,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Short,OFUKU: Separation,2020,12.0,tt10005120
1,Short,Hear a No,2020,9.0,tt10006262
2,Short,Satisfaction,2020,,tt10003588
3,Short,The Last Queen on Earth,2020,8.0,tt10005772
4,Short,They Never Lie,2020,11.0,tt10008112
5,Short,For the Best,2020,6.0,tt10010434
6,Short,Salvage,2020,3.0,tt10010422
7,Short,Anxietus,2020,9.0,tt10016332
8,Short,Drop,2020,10.0,tt10023074
9,Short,Nairobi,2020,6.0,tt10028420
10,Short,The Color of Midnight,2020,9.0,tt10032670
11,Short,Whenever You're Ready,2020,4.0,tt10032352
12,Short,Aur Kitna Time Lagega,2020,8.0,tt10031320
13,Short,Before the Rooster Crows,2020,12.0,tt10031730
14,Short,Portrait,2020,12.0,tt10037824
15,Short,"Post-You, Me",2020,7.0,tt10039526
16,Short,Sylvia,2020,11.0,tt10038088
17,Short,Sins Unveiled,2020,,tt10038014
18,Short,Ein Man Stande,2020,4.0,tt10037766
19,Short,The Aboves and the Belows,2020,12.0,tt10047998
20,Short,Lavender,2020,8.0,tt10058872
21,Short,The Place of the Skull,2020,6.0,tt10061280
22,Short,Inner Self,2020,11.0,tt10058946
23,Short,O Mundo Aqui Dentro,2020,6.0,tt10059532
24,Short,La Lettre,2020,7.0,tt10059822
25,Short,Francois,2020,7.0,tt10065226
26,Short,32 Goldfish,2020,2.0,tt10065208
27,Short,Journey,2020,12.0,tt10069486
28,Short,Twins,2020,6.0,tt10069650
29,Short,Footsteps,2020,,tt10073626
30,Short,Días Negros,2020,6.0,tt10073872
31,Short,The Exchange,2020,2.0,tt10074848
32,Short,Love Lonely,2020,5.0,tt10078686
33,Short,Man of the Harvest,2020,11.0,tt10086654
34,Short,Nur ein Augenblick,2020,4.0,tt10092172
35,Short,Boundaries,2020,10.0,tt10089810
36,Short,Recover,2020,1.0,tt10093672
37,Short,Cuckoo Roller,2020,6.0,tt10098068
38,Short,Skeletons,2020,6.0,tt10098776
39,Short,Dependence,2020,2.0,tt10105488
40,Short,Jericho,2020,,tt10106540
41,Short,The Burning of Mary,2020,6.0,tt10107260
42,Short,Road Runner,2020,2.0,tt10109698
43,Short,Love Sex Soprano,2020,11.0,tt10111546
44,Short,Bombs Bursting in Air,2020,,tt10115320
45,Short,Toxic,2020,11.0,tt10116384
46,Short,John Mortonson's Funeral,2020,6.0,tt10116558
47,Short,Analog Rainbow,2020,4.0,tt10120260
48,Short,The Peace of Wild Things,2020,,tt10125954
49,Short,Adnan,2020,2.0,tt10123128
50,Short,We Came From the Sea,2020,9.0,tt10125586
