,Genero,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Drama,Movie,Istota,2000,,tt0102362
1,Drama,Movie,For the Cause,2000,5.0,tt0113092
2,Drama,Movie,Florentino y el diablo,2000,4.0,tt0113086
3,Drama,Movie,Karobaar: The Business of Love,2000,9.0,tt0116748
4,Drama,Movie,Gang,2000,4.0,tt0116391
5,Drama,Movie,Consequence,2000,,tt0115937
6,Drama,Movie,Fa yeung nin wah,2000,3.0,tt0118694
7,Drama,Movie,Beyond the Pale,2000,9.0,tt0118710
8,Drama,Movie,Chinese Coffee,2000,9.0,tt0118852
9,Drama,Movie,Passionnément,2000,5.0,tt0119866
10,Drama,Movie,Love 101,2000,2.0,tt0119495
11,Drama,Movie,Pushing the Envelope,2000,4.0,tt0119966
12,Drama,Movie,Way Past Cool,2000,,tt0120485
13,Drama,Movie,State and Main,2000,7.0,tt0120202
14,Drama,Movie,Vulgar,2000,9.0,tt0120467
15,Drama,Movie,Bruno,2000,4.0,tt0123003
16,Drama,Movie,Lured Innocence,2000,2.0,tt0122161
17,Drama,Movie,Shikari,2000,10.0,tt0120117
18,Drama,Movie,Capitães de Abril,2000,4.0,tt0120626
19,Drama,Movie,Sånger från andra våningen,2000,9.0,tt0120263
20,Drama,Movie,The Million Dollar Hotel,2000,5.0,tt0120753
21,Drama,Movie,Chicken Run,2000,9.0,tt0120630
22,Drama,Movie,The Highwayman,2000,4.0,tt0120698
23,Drama,Movie,Foiled,2000,,tt0120673
24,Drama,Movie,Return to Me,2000,6.0,tt0122459
25,Drama,Movie,Waking the Dead,2000,3.0,tt0127349
26,Drama,Movie,Flamingo Dreams,2000,,tt0129095
27,Drama,Movie,Dinosaur,2000,6.0,tt0130623
28,Drama,Movie,Duets,2000,9.0,tt0134630
29,Drama,Movie,Fallen Arches,2000,1.0,tt0133752
30,Drama,Movie,Wind River,2000,6.0,tt0135707
31,Drama,Movie,Cement,2000,1.0,tt0138353
32,Drama,Movie,Waterproof,2000,8.0,tt0138927
33,Drama,Movie,Mothman,2000,,tt0137115
34,Drama,Movie,The Yards,2000,6.0,tt0138946
35,Drama,Movie,The Hiding Place,2000,6.0,tt0138818
36,Drama,Movie,No Quarto da Vanda,2000,3.0,tt0139500
37,Drama,Movie,Isn't She Great,2000,1.0,tt0141399
38,Drama,Movie,Knockout,2000,2.0,tt0143344
39,Drama,Movie,Committed,2000,4.0,tt0144142
40,Drama,Movie,American Psycho,2000,9.0,tt0144084
41,Drama,Movie,Thirteen Days,2000,4.0,tt0146309
42,Drama,Movie,High Fidelity,2000,8.0,tt0146882
43,Drama,Movie,The Legend of Bagger Vance,2000,5.0,tt0146984
44,Drama,Movie,Looking for an Echo,2000,11.0,tt0148421
45,Drama,Movie,All the Pretty Horses,2000,12.0,tt0149624
46,Drama,Movie,Where the Money Is,2000,4.0,tt0149367
47,Drama,Movie,Josh,2000,6.0,tt0151150
48,Drama,Movie,The Thief & the Stripper,2000,10.0,tt0153012
49,Drama,Movie,Time of Her Time,2000,9.0,tt0153100
50,Drama,Movie,Up at the Villa,2000,4.0,tt0153464
51,Drama,Movie,A Good Baby,2000,12.0,tt0155723
52,Drama,Movie,Ricky 6,2000,4.0,tt0156020
53,Drama,Movie,I'll Remember April,2000,4.0,tt0155754
54,Drama,Movie,Secrets of a Chambermaid,2000,4.0,tt0155150
55,Drama,Movie,Yup Yup Man,2000,1.0,tt0157202
56,Drama,Movie,The Next Best Thing,2000,6.0,tt0156841
57,Drama,Movie,Rave,2000,10.0,tt0156942
58,Drama,Movie,Daddy Tell Me a Story...,2000,,tt0157500
59,Drama,Movie,My Dog Skip,2000,8.0,tt0156812
60,Drama,Movie,Mad About Mambo,2000,7.0,tt0156757
61,Drama,Movie,Trolösa,2000,10.0,tt0157122
62,Drama,Movie,Nora,2000,4.0,tt0158033
63,Drama,Movie,Coping,2000,3.0,tt0159371
64,Drama,Movie,Lennon,2000,,tt0158721
65,Drama,Movie,På fremmed mark,2000,3.0,tt0158871
66,Drama,Movie,Luckytown,2000,4.0,tt0160495
67,Drama,Movie,More Dogs Than Bones,2000,7.0,tt0160547
68,Drama,Movie,Moskva,2000,3.0,tt0160550
69,Drama,Movie,Blast,2000,4.0,tt0160663
70,Drama,Movie,Passion of Mind,2000,6.0,tt0160644
71,Drama,Movie,Four Dogs Playing Poker,2000,6.0,tt0160289
72,Drama,Movie,Takedown,2000,3.0,tt0159784
73,Drama,Movie,Steal This Movie,2000,6.0,tt0161216
74,Drama,Movie,Respirar (Debaixo D'água),2000,2.0,tt0160759
75,Drama,Movie,Lost Souls,2000,4.0,tt0160484
76,Drama,Movie,Rules of Engagement,2000,11.0,tt0160797
77,Drama,Movie,The Redemption,2000,,tt0160751
