,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,['Marcos Manhães Marins'],['Marcos Manhães Marins'],,15min,Chateaubriand - Cabeça de Paraíba
1,"6,3",['Patricia Ferreira'],DESCONOCIDO,"Paloma is a young psychiatrist, who is hired to work as a director of a clinic in Galicia, and is attracted to Mario, her very first patient. He suffers from a rare form of amnesia, commonly known as Korsakov's syndrome. As a result, both his short and long term memories are affected, and he has temporary lapses of perception. However, Paloma finds Mario to be a fasci... Leer todo",1h 40min,Sé quién eres
2,"5,1",['Marie-Christine Questerbert'],['Marie-Christine Questerbert'],"In the fourteenth century, the young Aliénor managed to treat the king of France, victim of a fistula. As a reward, she asks the sovereign to marry Bertrand de Roussillon she loves since childhood.",1h 47min,La chambre obscure
3,"7,2",['Ann Hu'],DESCONOCIDO,"Beijing, 1902: an enterprising young portrait photographer named Liu Jinglun, keen on new technology, befriends a newly-arrived Englishman who's brought projector, camera, and Lumière-brothers' shorts to open the Shadow Magic theater. Liu's work with Wallace brings him conflict with tradition and his father's authority, complicated by his falling in love with Ling, da... Leer todo",1h 56min,Xi yang jing
4,"8,3",['Will Wallace'],"['Jerry Sticker', 'Will Wallace']",,1h 30min,A Christmas Tree and a Wedding
5,"8,0",['Marc Levin'],DESCONOCIDO,"A one woman documentary play based on hundreds of interviews conducted after the riots that followed the 1992 acquittal of the police officers who beat Rodney King. This is a film adaptation of the play, directed by Mark Levine with additional documentary footage.",1h 16min,Twilight: Los Angeles
6,"6,5",['Sergio Bellotti'],['Daniel Guebel'],"Based on a true crime, ""Treasure of Mine"" follows a week in the life of Carlos Dietrich, a dark bank officer for the past 22 years at the Bank of Argentina. At 40, Dietrich faces an end to his illusions at all levels: emotionally, with his wife and lover, professionally (stagnant), personally (unfulfilled) and financially. He places himself on the fence between his da... Leer todo",1h 33min,Tesoro mío
7,"6,0",['Markus Imboden'],"['Walter Bretscher', 'Beat Schlatter']",,1h 30min,Komiker
8,"7,8",['Chitraarth'],DESCONOCIDO,"Udham Singh was born and brought in a Sikh Kamboj family in Punjab, India, during the time when the British ruled India. Enraged at the massacre of over 2000 men, women, and children at the hands of Brigardier General Edward Harry Dwyer (Tom Alter) in Jallianwalla, (now known in History books as the Jallianwalla Baug Massacre) Udham Singh swears vengeance. He sets abo... Leer todo",2h 45min,Shaheed Uddham Singh: Alais Ram Mohammad Singh Azad
9,"7,1",['Serik Aprimov'],['Serik Aprimov'],Tsjiboet and his two brothers grow up in a small village in Kazachstan. An old veteran tells them about a house where high officers can get the most beautiful women for free and the brothers start a search for this dreamplace.,1h 20min,Tri brata
10,"7,4",['Martin Sulík'],"['Dusan Dusek', 'Martin Sulík']",A doctor performs a small miracle with cigar smoke. A soldier performs heroics in his lovemaking. A deaf man awakens to discover a snake has slithered down his throat. A poacher becomes his own victim.,1h 46min,Krajinka
11,"7,7",['Brian Young'],['Brian Young'],"Dad was always there for us... Ray, a cab driver, views the world to be as lost as the passengers he picks up. Contact with his brother, Dr. Tom McCormack and father is non-existent. Except for his friendship with May, the elderly owner of the hotel where he lives, he is content just being left alone. Ray's only passion is his love of art. Tom's world takes a turn whe... Leer todo",1h 35min,Counting Days
12,"6,9",['José Nascimento'],"['João Canijo', 'José Nascimento']",Tragic real life story about a group of Portuguese fishermen who get caught in the middle of a storm in the Tejo river (Lisbon) and struggle to survive.,1h 35min,Tarde Demais
13,"6,2",['Gianfranco Giagni'],"['Graziano Diana', 'Nino Filastò', 'Gianfranco Giagni']","Beginning of the 80's: a politician is kidnapped and dies of heart attack during an interrogation. Before his death, the terrorists videotape his report on the exchange of money between businesspersons and politicians.",1h 26min,Nella terra di nessuno
14,"5,3",['Stanley Kwan'],['Jimmy Ngai'],"The story of seven people stuck on a remote island, quarantined by the government due to a viral outbreak.",1h 43min,You shi tiaowu
15,"7,2",['Robert Guédiguian'],"['Jean-Louis Milesi', 'Robert Guédiguian']","A dark tale of working-class life in Marseilles, a city in crisis. Interesting characters include a hard-bitten but compassionate fish market worker with a drug addicted daughter and a moody bartender with a shocking secret life.",2h 13min,La ciudad está tranquila
16,"6,1",['Tata Amaral'],DESCONOCIDO,"Selma, a retired nurse, is an extremely loving mother for his son Raimundo, in an almost incestuous relationship. One day, she becomes aware of some changes in her son's behavior. At first, she thinks it may be some girlfriend. But soon she learns it's something else.",1h 22min,Através da Janela
17,"6,9",['Zhou Sun'],"['Heng Liu', 'Xiaoli Shao', 'Zhou Sun']",Gong Li stars in this low-key drama about a single mother who will do anything to provide for her son. Sun Liying (Li) struggles to care for her hearing-impaired child Zheng Da (Gao Xin) after her taxi driver husband divorces.,1h 30min,Piao liang ma ma
18,--,['Taku Ohshima'],['Taku Ohshima'],,1h 44min,Kasei no waga ya
19,"6,8",['Jim McKay'],['Jim McKay'],"Focusing on the bonding between three girls in Brooklyn's ""Jackie Robinson Steppers Marching Band"" and the choices the girls face once their high school closes down for asbestos removal.",1h 35min,Our Song
20,"6,3",['Lucas Reiner'],['Lucas Reiner'],Los Angeles at the end of the century.,1h 32min,The Gold Cup
21,"6,1",['Karl Francis'],['Karl Francis'],Herbert Biberman struggles as a Hollywood writer and director blacklisted as one of The Hollywood Ten in the 1950s.,1h 49min,Punto de mira
22,"5,9",['Steve Barron'],['Wesley Burrowes'],A woman becomes furious when her husband arrives home from the local pub and turns into a rat.,1h 29min,Rat
23,"6,0",['Rudolf Thome'],['Rudolf Thome'],"On the occasion of his 60th birthday, Adam organizes an extended celebration at his country home. In addition to his current wife and their young children, the guests are his previous wives, the few most important of his former lovers, and the son he has not seen in decades with his family.",1h 43min,Paradiso: Siete días con siete mujeres
