,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,DESCONOCIDO,DESCONOCIDO,,--,Neurosis of a Hitman
1,--,DESCONOCIDO,DESCONOCIDO,"Interweaving events and relationships in the life of a widowed Palestinian woman, some occurring in Montreal where she resides, and involving a South African man hired to paint her apartment and some occurring in Jerusalem, involving conversations over the internet with an intimate friend who is also a singer, this short film lyrically conveys the political and person... Read all",--,At the window
2,--,DESCONOCIDO,DESCONOCIDO,,--,Broken Monologues
3,--,DESCONOCIDO,DESCONOCIDO,,--,Bracia
4,5.5,DESCONOCIDO,DESCONOCIDO,"Vietnam. 1972. US Army Special Forces Major Cliff Marquette leads a squad ordered to investigate unusual reports and secure a remote jungle temple locals believe has mystical powers. The Marines guarding the temple have withheld provisions for days from a Viet Cong prisoner. Despite severe mistreatment, the prisoner mysteriously shows no signs of suffering. Marquette ... Read all",--,A.W.O.L
5,--,DESCONOCIDO,DESCONOCIDO,,--,Meglét
6,7.8,DESCONOCIDO,DESCONOCIDO,"""Vic"" chronicles a few days in the life of Vic Reeves, a down-on-his-luck Los Angeles actor in his seventies. Haunted by memories of his former glory days in Hollywood, his dreams of returning to the limelight are revived by a late night telephone call that holds the promise of a major new role.",--,Vic
7,--,DESCONOCIDO,DESCONOCIDO,,--,Drømme om djævelen
8,--,DESCONOCIDO,DESCONOCIDO,,--,El último vagón
9,5.8,DESCONOCIDO,DESCONOCIDO,"Ron, a Canadian tourist in Munich, is a loner with a camera whose sole passion is for fotography. When he meets Bernie, the producer, and Julia, the actress, an outgoing couple obviously in love, his attention turns from his camera to his true object of desire.",--,The Tourist
10,7.8,DESCONOCIDO,DESCONOCIDO,,--,The Wager
11,5.4,DESCONOCIDO,DESCONOCIDO,"Leaping tall buildings in a single bound is all part of the risk in a secret mission to create a genetic combination born of Athena and Lilith. The cat rescuing entrepreneur and the genetic engineer are desperate to have a baby together, and when science fails to help them, Lilith takes matters into her own hands",--,Succubus
12,5.0,DESCONOCIDO,DESCONOCIDO,"Århus, Denmark. When his oldest friend creates problems for him, fifteen year old Jonas finds himself choosing between friendship and future.",--,Koma
13,7.6,DESCONOCIDO,DESCONOCIDO,"A dramtic story about a curious little boy, a beautiful young girl, and a myterious old house that holds the secret to their love and fate. A captivating, thought-provoking tale that proves true love really does last forever.",--,Once Not Far from Home
14,8.0,DESCONOCIDO,DESCONOCIDO,"It's a bitter winter day in 1968 when two best friends set out across a field. Fresh from boot camp, Randy is days away from Vietnam when Bailey agrees to go hunting, hoping to mend their estrangement. A story of friendship and lost trust, Trey Nelson's evocative chamber piece also tells a bigger tale - of a time, a place, and a nation.",--,Raccoon
15,8.5,DESCONOCIDO,DESCONOCIDO,"When two femme fatales have their pockets picked in Spain, they go on the grift. Scam artists starting with petty theft, the damsels rise to become the 'Mickey Finn' girls of the Riviera. Following a string of successes, a double cross causes Nikki to set revenge as her ambition. Cunning wickedness in short skirts, dropped in exotic landscapes with double plot twists,... Read all",--,A Killing on the Riviera
16,7.5,DESCONOCIDO,DESCONOCIDO,"Two American soldiers have to cooperate with a German deserter in order to survive the arrival of a German ""Volkssturm"" platoon during the last days of WWII.",--,Die letzten Tage
17,7.2,DESCONOCIDO,DESCONOCIDO,,--,Fru Eilersen og Mehmet
18,--,DESCONOCIDO,DESCONOCIDO,,--,Dead End
19,7.1,DESCONOCIDO,DESCONOCIDO,Summertime in Chambéry. 17-year-old Jean is ill. No one knows it. Everyone sees it.,--,Cache ta joie
20,8.4,DESCONOCIDO,DESCONOCIDO,"The story of a young man forced to deal with the long forgotten past. Jesse, a hardened young man, encounters Alex, a Gospel preaching stranger, while watching over his younger brother, Andy, on a desolate beach. After dismissing the religious rhetoric and realizing Alex's true identity, Jesse reluctantly engages a conversation with him, his long estranged father, pla... Read all",--,Father Figure
21,6.7,DESCONOCIDO,DESCONOCIDO,"Carly and Joe are young, passionate and on the verge of making love. But the introduction of a digital camera as a sexy new element has unexpected results: the fuse is lit for a night of uncovered secrets and stunning revelations that will change both their lives forever.",--,Unwrapped
22,7.9,DESCONOCIDO,DESCONOCIDO,"On a remote Welsh island, an innocent game of catch leads Anna and Joseff into an ancient graveyard. Venturing deeper onto the island, their play evolves into an exploration of life, love and loss, awakening them to the fragility of living and the pain of first love.",--,"Love You, Joseff Hughes"
