,id,time_sec
0,tt14316266,2
1,tt14315718,2
2,tt14315910,1
3,tt14315788,1
4,tt14316582,1
5,tt14316624,2
6,tt14316764,3
7,tt14316946,2
8,tt14317676,2
9,tt14321742,3
10,tt14318910,3
11,tt14322004,2
12,tt14317466,3
13,tt14319342,2
14,tt14321794,3
15,tt14319940,3
16,tt14319780,3
17,tt14320226,2
18,tt14317054,2
19,tt14317016,3
20,tt14317420,2
21,tt14317492,2
22,tt14318982,2
23,tt14318200,15
24,tt14318494,3
25,tt14321904,2
26,tt14320442,3
27,tt14322378,2
28,tt14324692,3
29,tt14324582,2
30,tt14323268,2
31,tt14325206,2
32,tt14323156,3
33,tt14325270,4
34,tt14324572,2
35,tt14325308,3
36,tt14325148,2
37,tt14325456,16
38,tt14325220,3
39,tt14324814,2
40,tt14325728,3
41,tt14330240,4
42,tt14326736,3
43,tt14330108,2
44,tt14330106,2
45,tt14325792,2
46,tt14323168,3
47,tt14327694,3
48,tt14328182,2
49,tt14329346,2
50,tt14324708,3
51,tt14329004,2
52,tt14329104,3
53,tt14325956,2
54,tt14329476,3
55,tt14330774,3
56,tt14330540,4
57,tt14328948,3
58,tt14331130,2
59,tt14332716,3
60,tt14332484,4
61,tt14331074,3
62,tt14331582,3
63,tt14332428,3
64,tt14332086,5
65,tt14331942,3
66,tt14333084,3
67,tt14332624,3
68,tt14332638,4
69,tt14332646,4
70,tt14336388,3
71,tt14336738,3
72,tt14336430,3
73,tt14335992,4
74,tt14337230,12
75,tt14336112,2
76,tt14337802,3
77,tt14336546,2
78,tt14337562,2
79,tt14336700,1
80,tt14337398,1
81,tt14336444,2
82,tt14338328,1
83,tt14338396,2
84,tt14338990,2
85,tt14339012,2
86,tt14338806,1
87,tt14337960,1
88,tt14338702,2
89,tt14338846,2
90,tt14338912,2
91,tt14342784,1
92,tt14343100,1
93,tt14343196,1
94,tt14346400,2
95,tt14344742,1
96,tt14344642,1
97,tt14344280,2
98,tt14344690,2
99,tt14344122,16
100,tt14345482,1
101,tt14343430,1
102,tt14347994,1
103,tt14348674,1
104,tt14348592,1
105,tt14346110,1
106,tt14347700,1
107,tt14348278,2
108,tt14348842,1
109,tt14345474,2
110,tt14345852,2
111,tt14347176,1
112,tt14349950,1
113,tt14348676,2
114,tt14348856,1
115,tt14348450,1
116,tt14350962,1
117,tt14350980,1
118,tt14351004,2
119,tt14351096,1
120,tt14352200,1
121,tt14354260,2
122,tt14354200,1
123,tt14353770,2
124,tt14350920,2
125,tt14351728,1
126,tt14350618,1
127,tt14353314,2
128,tt14355614,1
129,tt14355970,1
130,tt14355712,1
131,tt14356390,1
132,tt14356356,1
133,tt14354738,1
134,tt14355800,1
135,tt14354724,2
136,tt14356768,1
137,tt14356774,1
138,tt14357072,1
139,tt14357030,60
140,tt14357276,3
141,tt14357334,2
142,tt14354542,1
143,tt14357632,2
144,tt14357186,2
145,tt14357862,2
146,tt14357768,1
147,tt14361794,1
148,tt14362474,1
149,tt14360986,1
150,tt14360996,1
151,tt14361354,1
152,tt14359926,1
153,tt14362692,1
154,tt14362842,1
155,tt14361918,1
156,tt14363770,1
157,tt14362548,1
158,tt14360856,1
159,tt14364534,1
160,tt14365326,2
161,tt14365112,1
162,tt14365430,2
163,tt14365554,1
164,tt14369486,1
165,tt14368766,1
166,tt14371580,1
167,tt14370822,60
168,tt14371460,1
169,tt14370974,2
170,tt14367318,2
171,tt14369722,1
172,tt14369884,1
173,tt14371236,1
174,tt14368778,2
175,tt14367304,4
176,tt14371982,1
177,tt14371270,1
178,tt14369610,1
179,tt14371630,1
180,tt14371240,1
181,tt14372272,2
182,tt14368536,2
183,tt14369904,1
184,tt14370462,2
185,tt14371252,1
186,tt14371312,1
187,tt14371828,1
188,tt14373562,2
189,tt14375132,1
190,tt14377366,1
191,tt14378336,2
192,tt14377824,2
193,tt14376248,2
194,tt14375672,2
195,tt14375734,2
196,tt14378600,1
197,tt14377672,2
198,tt14378116,1
199,tt14379644,14
200,tt14379866,2
201,tt14382634,2
202,tt14381928,2
203,tt14381794,1
204,tt14381594,2
205,tt14385650,1
206,tt14385306,1
207,tt14385764,2
208,tt14386198,2
209,tt14383678,1
210,tt14385990,1
211,tt14383724,2
212,tt14384084,1
213,tt14386236,1
214,tt14384542,2
215,tt14384960,1
216,tt14384390,1
217,tt14385278,2
218,tt14387024,3
219,tt14386446,1
220,tt14385010,1
221,tt14386090,2
222,tt14386044,1
223,tt14389606,1
224,tt14389586,1
225,tt14389010,2
226,tt14389876,1
227,tt14390560,1
228,tt14390316,2
229,tt14392414,2
230,tt14391034,2
231,tt14394274,1
232,tt14390896,2
233,tt14391260,2
234,tt14391410,1
235,tt14391512,2
236,tt14394374,3
237,tt14397154,60
238,tt14392206,3
239,tt14394176,1
240,tt14390898,1
241,tt14390942,1
242,tt14390964,1
243,tt14391774,2
